"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	20
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	23
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	29
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	33
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	19
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	22
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	18
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	"White"	"2106-3"	19
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	26
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	24
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	17
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	18
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	20
