"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	"White"	"2106-3"	36
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	28
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	47
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	24
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	97
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	50
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	112
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	37
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	139
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	44
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	141
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	30
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	115
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	21
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	104
