GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG5E001,IG5E002,IG5E003,IG5E004,IG5E005,IG5E006,IG5E007,IG5E008,IG5E009,IG5E010,IG5E011,IG5E012,IG5E013,IG5E014,IG5E015,IG5E016,IG5E017,IG5E018,IG5E019,IG5E020,IG5E021,IG5E022,IG5E023,IG5E024,IG5E025,IG5E026,IG5E027,IG5E028,IG5E029,IG5E030,IG5E031,IG7E001,IG7E002,IG7E003,IG7E004,IG7E005,IG7E006,IG7E007,IG7E008,IG7E009,IG7E010,IG7E011,IG7E012,IG7E013,IG7E014,IG7E015,IG7E016,IG7E017,IG7E018,IG7E019,IG7E020,IG7E021,IG7E022,IG7E023,IG7E024,IG7E025,IG7E026,IG7E027,IG7E028,IG7E029,IG7E030,IG7E031,IHBE001,IHBE002,IHBE003,IHBE004,IHBE005,IHBE006,IHBE007,IHBE008,IHBE009,IHBE010,IHBE011,IHBE012,IHBE013,IHBE014,IHBE015,IHBE016,IHBE017,IHBE018,IHBE019,IHBE020,IHBE021,IHBE022,IHBE023,IHBE024,IHBE025,IHBE026,IHBE027,IHBE028,IHBE029,IHBE030,IHBE031,IHDE001,IHDE002,IHDE003,IHDE004,IHDE005,IHDE006,IHDE007,IHDE008,IHDE009,IHDE010,IHDE011,IHDE012,IHDE013,IHDE014,IHDE015,IHDE016,IHDE017,IHDE018,IHDE019,IHDE020,IHDE021,IHDE022,IHDE023,IHDE024,IHDE025,IHDE026,IHDE027,IHDE028,IHDE029,IHDE030,IHDE031,NAME_M,IG5M001,IG5M002,IG5M003,IG5M004,IG5M005,IG5M006,IG5M007,IG5M008,IG5M009,IG5M010,IG5M011,IG5M012,IG5M013,IG5M014,IG5M015,IG5M016,IG5M017,IG5M018,IG5M019,IG5M020,IG5M021,IG5M022,IG5M023,IG5M024,IG5M025,IG5M026,IG5M027,IG5M028,IG5M029,IG5M030,IG5M031,IG7M001,IG7M002,IG7M003,IG7M004,IG7M005,IG7M006,IG7M007,IG7M008,IG7M009,IG7M010,IG7M011,IG7M012,IG7M013,IG7M014,IG7M015,IG7M016,IG7M017,IG7M018,IG7M019,IG7M020,IG7M021,IG7M022,IG7M023,IG7M024,IG7M025,IG7M026,IG7M027,IG7M028,IG7M029,IG7M030,IG7M031,IHBM001,IHBM002,IHBM003,IHBM004,IHBM005,IHBM006,IHBM007,IHBM008,IHBM009,IHBM010,IHBM011,IHBM012,IHBM013,IHBM014,IHBM015,IHBM016,IHBM017,IHBM018,IHBM019,IHBM020,IHBM021,IHBM022,IHBM023,IHBM024,IHBM025,IHBM026,IHBM027,IHBM028,IHBM029,IHBM030,IHBM031,IHDM001,IHDM002,IHDM003,IHDM004,IHDM005,IHDM006,IHDM007,IHDM008,IHDM009,IHDM010,IHDM011,IHDM012,IHDM013,IHDM014,IHDM015,IHDM016,IHDM017,IHDM018,IHDM019,IHDM020,IHDM021,IHDM022,IHDM023,IHDM024,IHDM025,IHDM026,IHDM027,IHDM028,IHDM029,IHDM030,IHDM031
"G010","2010",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3324276,1632612,95424,98991,106420,66662,46854,110400,101616,99319,217888,245110,213822,139539,71760,18807,1691664,91965,96900,100576,58717,44467,107585,101941,97636,214180,248809,227072,158930,100406,42480,1262980,587644,48456,45141,50671,33770,25637,48488,38254,36878,73388,80875,61602,27364,13256,3864,675336,46280,48048,46077,30810,24829,55164,46334,46531,90525,93850,75646,37519,24020,9703,52789,25112,2928,1647,1842,791,978,1695,2360,3430,3778,2787,1709,937,179,51,27677,1886,1631,1075,1215,671,2471,3403,2739,3875,3821,2715,1405,691,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",6847,5012,1953,4345,4480,1517,1921,2298,2268,1858,2409,1642,805,859,1859,1809,4081,1861,3975,4092,1086,2049,2244,2230,1634,1850,1284,597,487,2546,2531,5127,4659,1967,3111,3074,1709,1899,2487,1617,2096,2334,2530,1714,1344,1121,863,3700,1779,2857,2514,1672,1951,2376,1561,1618,2404,1822,1064,1106,1759,1360,2754,1868,897,634,845,434,550,716,813,1050,1059,885,460,390,171,74,1720,573,418,563,697,526,831,1007,689,834,792,633,559,319,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2010",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",481446,256403,15988,14546,15648,9405,5859,19416,21252,17549,35462,43597,37037,14112,5308,1224,225043,14214,13579,13979,9402,4828,15463,17100,15838,30948,38593,30642,12432,6009,2016,24711,13032,394,553,1696,506,443,1279,1116,1629,2263,1718,1024,273,138,0,11679,1095,984,936,836,691,1275,547,1139,904,1699,805,314,454,0,39118,18296,1547,1386,1226,787,460,1348,1099,1072,2940,2737,2704,706,183,101,20822,1345,1200,1686,1134,482,1293,1349,901,3098,3095,3274,1050,640,275,7638,3558,451,478,144,276,0,720,332,414,415,141,81,106,0,0,4080,778,115,480,329,294,561,124,252,373,437,337,0,0,0,"Alaska",2499,2111,634,1386,1304,553,457,723,1306,805,920,733,454,436,575,476,1352,494,1542,1588,563,678,684,555,635,575,522,343,439,480,468,1612,1183,286,316,717,312,367,475,592,662,699,597,378,220,138,246,1018,443,343,364,329,463,525,394,493,392,539,356,214,320,246,3257,1912,465,488,618,230,352,532,484,296,569,496,503,421,177,139,1672,357,536,456,159,343,503,344,468,538,437,556,268,178,249,890,639,435,323,116,355,246,536,339,381,369,151,108,160,246,246,706,541,193,464,290,258,311,163,214,284,194,236,246,246,246
"G040","2010",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5095378,2531075,166172,162886,177113,103987,73976,171023,172412,162175,325551,342958,302847,215146,118687,36142,2564303,161450,164656,160898,96143,66407,160267,164226,157139,314055,350025,331132,235932,140572,61401,264009,139537,14013,11085,11411,7372,5503,11799,10308,10098,21214,16986,11841,5599,1723,585,124472,9131,9717,10206,6218,4702,10640,9798,8279,17939,17878,10765,5249,2734,1216,174039,82076,5092,6181,4518,2744,2997,6487,7579,7326,14248,11525,7443,4254,1472,210,91963,4172,6113,4630,2849,2243,5487,8318,8626,17384,12764,10501,5577,2669,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",24661,13774,3624,5910,5891,2088,2671,3429,2672,2475,3216,2528,1853,1705,2689,2627,13404,2807,6357,6004,2350,2323,3244,3083,2559,3051,2731,2146,1350,3433,3405,5590,3594,1618,1877,1776,989,978,1066,664,991,1121,791,656,506,405,360,3398,1106,1714,1630,880,880,824,869,775,942,1090,525,275,588,491,4937,3355,1072,1326,1089,646,723,883,990,929,954,1121,853,604,352,225,2741,1015,1045,921,535,549,793,739,787,1038,962,851,818,625,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G050","2010",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2289695,1130166,72237,71251,75461,43846,33982,73896,72488,69664,146697,161787,144038,98742,51129,14948,1159529,64482,69943,70201,41874,30338,76065,69320,66242,144215,163443,153387,109641,67713,32665,464411,219828,20802,17528,19873,11376,9328,18501,15494,15866,26269,28839,19900,10527,4101,1424,244583,19705,19130,18990,12882,9863,18719,16798,15781,31575,33286,25029,11555,7784,3486,33240,15161,184,1782,1020,1002,1025,1390,1362,1115,2336,2266,1174,495,0,10,18079,503,1410,1705,599,585,1420,1535,2060,2849,2734,1873,553,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",6567,4929,1869,3324,3244,1347,2409,2719,2450,1922,2119,1375,512,533,1557,1544,3968,1766,3407,3229,1465,2324,4123,2779,1557,2010,1066,661,1367,2221,2315,3749,3043,1797,1733,1811,1190,1414,1859,1543,1824,1728,1851,1313,1190,756,534,3226,1195,1739,2020,1417,1357,2060,1021,1826,1666,1570,937,915,799,748,2165,1510,209,755,613,516,591,794,614,621,630,630,479,373,273,20,1613,353,772,669,380,379,611,571,613,603,611,612,428,237,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2010",,,"California","06",,,,,,,,,,,,,,,,,,"California",23322954,11649682,732928,735244,771315,499613,345957,858589,845114,775711,1594630,1723556,1379877,774009,445348,167791,11673272,695346,720698,742334,462636,325778,774076,778749,741152,1528539,1692166,1436798,877602,575131,322267,2246353,1107757,72980,70375,81864,58034,39002,95318,79424,75968,156920,168723,116344,59292,26713,6800,1138596,69031,73027,73708,55720,38657,90454,76680,74512,153155,175219,127864,72470,38722,19377,4900963,2318556,132829,142919,146574,95070,72598,174222,178296,176615,365620,334047,257169,142366,74931,25300,2582407,131022,140527,132591,87934,66335,170090,193227,203363,422261,393162,313987,175626,110174,42108,142932,71633,4296,5211,5685,4105,4011,7285,5245,6475,9422,9679,6281,2699,1060,179,71299,4297,4988,5340,2718,3893,6830,5734,5424,11268,8607,7335,3406,1234,225,"California",69327,40547,7742,14435,13043,6539,6037,8603,7056,7568,10725,9184,5207,4084,5554,5496,34047,7183,11832,11143,5981,5454,9067,7527,6729,9245,7977,5765,4223,7925,7240,14331,8643,2462,3971,3589,2001,2004,3010,2207,2478,2954,2370,1761,1594,1674,1169,9359,2622,3334,3896,2016,2379,2842,2051,2081,3017,2407,1762,1248,2020,1778,16077,9783,3329,4345,5088,2606,2303,3882,2670,2428,3132,2821,2181,1571,2808,2677,10331,3247,5076,4465,2414,3220,3298,3059,2261,3005,2827,2271,1828,2798,2672,5392,3754,962,1009,1200,1037,1197,1410,1452,1413,1760,1361,922,586,519,231,3183,1098,1124,1148,775,1105,1387,1046,1382,1520,1205,1031,859,553,278
"G080","2010",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4208365,2103940,137673,137736,132362,81382,58349,147810,156663,148619,293369,317853,266535,135279,66813,23497,2104425,124985,134371,123899,76110,54473,138380,148578,140556,283298,324361,274140,148268,88569,44437,198117,104102,6893,8096,6270,6507,3050,8462,7817,7653,16393,16776,9945,3790,2090,360,94015,8287,7399,6093,4740,2574,7743,7175,6034,12857,14206,8559,4509,2651,1188,133796,59831,3684,4485,3886,2300,1325,4722,5214,6191,11156,7833,5252,2321,1122,340,73965,4257,5206,4711,2185,2624,4823,5258,5613,14660,10410,7961,3256,2568,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",17302,9337,2831,4911,4359,1829,2018,2660,2823,2271,2869,2465,1710,1299,1839,1703,9635,2383,4947,4895,1834,1870,2657,2892,2198,2633,2263,1498,1439,2948,2904,4670,3267,885,1379,1121,1022,672,981,1020,953,1156,1200,898,591,563,292,3233,1027,1458,1036,795,716,822,1139,668,1163,780,534,598,612,380,4212,2967,845,941,959,1041,682,1233,866,818,1447,1161,763,604,551,231,2401,766,948,918,681,795,950,1044,842,1195,955,798,824,744,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","2010",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2797956,1360038,69034,78092,93087,57641,36264,83269,73989,72922,180014,234058,188020,105392,63377,24879,1437918,66762,78512,84667,54496,33957,79467,74221,73138,186107,242690,199096,121088,84899,58818,356880,171626,12142,14331,14268,9407,7159,14906,12110,11422,24915,24102,15151,8005,2688,1020,185254,11688,13001,12199,9218,6800,15015,12315,13264,27060,27540,17293,11783,6426,1652,134338,64786,5040,4837,4676,1651,2040,4496,5872,7025,12316,8440,4744,2682,704,263,69552,5564,4780,4534,2374,1632,4556,6865,7670,13198,8606,5539,2783,1135,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",10233,6035,1577,3459,3730,1065,976,1257,1633,1499,1885,1559,1163,849,2130,2128,5323,1412,3522,3081,1129,1169,1102,1530,1616,1736,1504,972,766,2614,2652,5421,3281,937,1656,1738,752,671,1185,924,747,1037,680,660,949,649,377,3590,1395,1664,1601,880,517,776,1055,959,1092,1119,654,646,720,536,2644,1771,526,933,1053,523,832,910,678,841,769,380,485,601,363,317,1599,624,1032,1030,618,591,1073,651,715,786,692,432,598,413,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2010",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",636052,310249,17019,16388,19158,12198,9616,21715,18826,18425,38481,48683,41561,28307,15336,4536,325803,16230,16969,16444,11427,9373,20832,18909,18079,40451,49719,46292,31820,19640,9618,191626,89935,7384,7200,8146,4576,4368,7603,4957,5564,12295,12738,8294,4373,1975,462,101691,6985,7727,7788,5190,4800,6970,6312,6462,15044,14578,10542,5702,2421,1170,27482,13348,1253,881,635,417,114,1209,1027,1577,2738,1395,1146,740,149,67,14134,935,923,548,471,698,714,1579,1430,2265,1972,1312,758,347,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",4915,2514,744,1790,1724,595,760,783,697,662,807,589,520,386,768,715,2806,852,1440,1407,390,627,799,625,568,918,570,549,325,1288,1196,2650,1689,732,1155,1095,480,856,811,515,828,928,583,199,336,385,257,1629,817,1197,1162,500,1042,889,404,525,594,429,361,66,498,457,1348,956,274,377,240,198,189,223,453,188,446,384,221,223,124,81,802,208,248,251,188,294,267,214,191,249,420,234,287,239,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2010",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",242905,120535,5587,4013,1954,1432,5770,11964,18798,15769,19899,13646,10878,6687,3102,1036,122370,4753,3457,2487,1078,6294,17458,21465,15109,16035,10814,11147,6703,3195,2375,309221,140583,9672,9743,8010,6591,5322,11585,9733,8388,16749,21871,17187,8973,4734,2025,168638,9146,7441,9980,6474,6315,13395,11783,10637,20049,24932,21275,13343,9149,4719,21552,9016,244,109,242,195,264,674,2579,1337,1596,763,560,289,48,116,12536,206,292,316,212,691,2059,2371,1841,2363,595,686,589,85,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",4030,2115,394,625,481,367,1440,1524,838,373,641,468,445,258,373,362,2275,564,630,538,313,1201,1248,550,477,523,446,307,282,574,586,2659,1382,240,1039,1025,292,292,609,450,343,331,448,365,218,524,529,1621,411,1358,1320,153,175,204,390,376,287,220,538,399,847,861,966,656,235,184,239,240,216,475,535,196,418,337,223,196,80,179,755,204,194,259,192,314,427,274,226,450,330,359,366,142,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2010",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",14411461,7066879,358544,378184,403724,255088,182165,442051,422405,404317,913312,1068203,929155,713637,442465,153629,7344582,346548,356278,379233,235618,172409,417791,408685,396233,908330,1084916,1027584,806689,542447,261821,2997377,1436750,116761,117665,121610,80095,57362,124957,106963,98192,190025,190962,127933,67478,29760,6987,1560627,114129,118320,117086,73114,58219,130028,114634,105550,214854,216104,149871,84471,46738,17509,452580,210152,13611,13890,12585,8979,5544,20493,15935,15181,35905,29779,20346,12876,4198,830,242428,11863,15061,13251,7579,6855,15990,18912,19402,42890,37117,29207,16930,6155,1216,11525,6090,317,328,435,354,329,436,522,996,545,851,534,417,26,0,5435,448,116,524,88,72,485,911,420,732,762,642,161,0,74,"Florida",32433,18536,4297,9920,9260,2875,3183,4814,4084,4145,5213,4249,2717,2324,5844,5458,17092,3502,8497,7895,2941,2797,4677,3899,3750,4542,4746,3051,2499,8333,7948,15337,9084,3394,5249,4786,3476,3052,3398,2858,2664,3073,3133,2081,2024,1806,1215,8935,2900,5253,5435,2353,2573,2918,2926,2766,3356,3618,2068,1860,2504,1900,7409,4855,1406,2053,1782,1481,1392,2283,1304,1527,2075,1567,1110,1150,964,488,4372,1311,1628,1746,1191,1298,1739,1555,1483,2400,1589,1479,1573,1014,485,2188,1541,210,250,380,199,263,363,387,667,294,471,377,396,44,310,1385,341,143,380,130,118,290,471,298,557,563,429,108,310,121
