GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,LIJE001,LIJE002,LIJE003,LIJE004,LIJE005,LIJE006,LIJE007,LIJE008,LIJE009,LIJE010,LIJE011,LIJE012,LIJE013,LIJE014,LIJE015,LIJE016,LIJE017,LIJE018,LIJE019,LIJE020,LIJE021,LIJE022,LIJE023,LIJE024,LIJE025,LIJE026,LIJE027,LIJE028,LIJE029,LIJE030,LIJE031,LILE001,LILE002,LILE003,LILE004,LILE005,LILE006,LILE007,LILE008,LILE009,LILE010,LILE011,LILE012,LILE013,LILE014,LILE015,LILE016,LILE017,LILE018,LILE019,LILE020,LILE021,LILE022,LILE023,LILE024,LILE025,LILE026,LILE027,LILE028,LILE029,LILE030,LILE031,LIPE001,LIPE002,LIPE003,LIPE004,LIPE005,LIPE006,LIPE007,LIPE008,LIPE009,LIPE010,LIPE011,LIPE012,LIPE013,LIPE014,LIPE015,LIPE016,LIPE017,LIPE018,LIPE019,LIPE020,LIPE021,LIPE022,LIPE023,LIPE024,LIPE025,LIPE026,LIPE027,LIPE028,LIPE029,LIPE030,LIPE031,LIRE001,LIRE002,LIRE003,LIRE004,LIRE005,LIRE006,LIRE007,LIRE008,LIRE009,LIRE010,LIRE011,LIRE012,LIRE013,LIRE014,LIRE015,LIRE016,LIRE017,LIRE018,LIRE019,LIRE020,LIRE021,LIRE022,LIRE023,LIRE024,LIRE025,LIRE026,LIRE027,LIRE028,LIRE029,LIRE030,LIRE031,NAME_M,LIJM001,LIJM002,LIJM003,LIJM004,LIJM005,LIJM006,LIJM007,LIJM008,LIJM009,LIJM010,LIJM011,LIJM012,LIJM013,LIJM014,LIJM015,LIJM016,LIJM017,LIJM018,LIJM019,LIJM020,LIJM021,LIJM022,LIJM023,LIJM024,LIJM025,LIJM026,LIJM027,LIJM028,LIJM029,LIJM030,LIJM031,LILM001,LILM002,LILM003,LILM004,LILM005,LILM006,LILM007,LILM008,LILM009,LILM010,LILM011,LILM012,LILM013,LILM014,LILM015,LILM016,LILM017,LILM018,LILM019,LILM020,LILM021,LILM022,LILM023,LILM024,LILM025,LILM026,LILM027,LILM028,LILM029,LILM030,LILM031,LIPM001,LIPM002,LIPM003,LIPM004,LIPM005,LIPM006,LIPM007,LIPM008,LIPM009,LIPM010,LIPM011,LIPM012,LIPM013,LIPM014,LIPM015,LIPM016,LIPM017,LIPM018,LIPM019,LIPM020,LIPM021,LIPM022,LIPM023,LIPM024,LIPM025,LIPM026,LIPM027,LIPM028,LIPM029,LIPM030,LIPM031,LIRM001,LIRM002,LIRM003,LIRM004,LIRM005,LIRM006,LIRM007,LIRM008,LIRM009,LIRM010,LIRM011,LIRM012,LIRM013,LIRM014,LIRM015,LIRM016,LIRM017,LIRM018,LIRM019,LIRM020,LIRM021,LIRM022,LIRM023,LIRM024,LIRM025,LIRM026,LIRM027,LIRM028,LIRM029,LIRM030,LIRM031
"G010","2011",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3318110,1622668,95501,100951,100612,63653,44239,109770,100831,100074,210308,242807,219933,141172,71762,21055,1695442,89437,94026,105248,61509,41526,108893,98859,99628,211603,245702,231691,162743,102650,41927,1281095,598314,47370,46238,51644,32188,24408,52914,40316,38740,72880,80862,64067,29022,12977,4688,682781,45264,45019,49717,30543,24242,55866,48915,46838,89860,93743,77886,40017,23188,11683,54259,25036,1399,1881,2181,771,601,2041,3764,1707,5211,2678,1391,1053,314,44,29223,1440,2494,2217,611,534,2286,2219,2958,5666,3072,3289,1769,661,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",8630,5726,1996,3864,3989,1117,2111,2415,2662,1714,2130,1556,852,564,2060,1995,5921,1674,3625,2958,1696,2078,2210,1773,1706,2362,1292,920,930,2694,2531,4637,3797,1684,2888,2967,1506,1548,1849,1702,1767,2219,2095,1171,1231,1099,936,3632,1549,2475,2805,1693,1642,1884,1987,2038,1929,1961,994,956,1246,1211,2260,1904,540,663,717,358,295,798,959,566,1173,866,464,474,183,67,1770,542,790,558,487,331,682,691,848,1145,757,848,648,426,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2011",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",482698,253207,15510,14638,15179,8835,6157,19415,20165,17359,34204,41354,38013,15467,5802,1109,229491,14284,13422,14529,9325,4813,15935,17960,16253,30701,37670,32874,13076,5977,2672,23143,12133,478,307,1510,286,421,1760,1473,1686,1182,1479,1172,0,243,136,11010,1279,1196,735,231,259,538,1448,920,1913,760,1037,351,273,70,37971,16858,1030,1153,1241,896,600,1280,1416,1079,2501,2504,2157,639,330,32,21113,726,1136,1415,1061,430,1267,1411,1755,2798,3749,2802,1786,752,25,7785,3805,367,454,129,413,15,565,752,123,454,248,83,175,27,0,3980,416,527,331,330,38,502,470,394,292,360,148,172,0,0,"Alaska",2741,1656,466,1494,1456,263,662,742,672,357,771,442,507,360,419,350,1675,515,1314,1368,452,731,835,354,537,668,538,339,158,651,632,2072,1218,390,305,640,257,255,615,477,670,584,829,314,149,243,204,1399,565,481,411,197,190,484,813,577,829,448,333,334,197,128,2083,1239,309,457,447,423,405,419,263,323,561,545,393,267,188,54,1389,442,517,453,415,261,289,343,446,626,666,466,716,163,39,727,547,167,281,112,357,26,258,204,166,201,141,103,172,26,149,517,207,307,244,380,73,195,244,237,199,247,142,188,149,149
"G040","2011",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5141027,2548651,167273,166607,172107,101115,69155,177750,172858,165213,320486,339031,312975,222980,125097,36004,2592376,155491,164231,156357,97040,66386,168365,166004,154886,317255,350476,341674,246182,140847,67182,265940,141912,10310,10960,13926,7142,5227,14442,11499,11097,19847,17698,11753,5541,1947,523,124028,9527,10515,8725,6941,4860,10373,9271,9768,15929,15758,12183,6210,2666,1302,177297,82239,5015,5037,5847,3561,2199,6898,6767,8086,15005,10540,7154,3857,1953,320,95058,3695,6111,5002,2913,2504,5205,7824,8568,18353,12855,11768,6578,3130,552,11941,6748,421,645,193,375,0,1118,976,605,1080,398,802,84,51,0,5193,449,759,626,136,186,280,501,470,437,678,532,89,50,0,"Arizona",23299,12469,3658,6458,6613,2277,2569,4068,2826,3753,4052,3010,2150,1524,3357,3436,13624,3790,6857,7432,2392,2836,3980,2470,3502,3126,3068,1838,1421,4444,4283,7841,5028,1363,2487,2445,1293,921,1596,843,893,1810,744,661,642,456,342,5290,2572,1795,1592,977,1218,1311,903,1650,1004,915,1041,490,469,399,6178,4215,1842,1619,1269,582,832,726,776,1280,1090,757,631,502,468,265,3295,1113,1493,1313,497,653,1013,899,728,1113,852,925,799,642,412,1586,796,269,385,185,349,229,537,438,320,366,262,407,152,99,229,1244,259,494,413,170,137,211,307,342,328,491,428,155,99,229
"G050","2011",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2296248,1133459,70541,73532,72948,44091,29057,77253,73899,70691,143057,162463,147546,100350,51799,16232,1162789,67708,69329,69161,39766,27347,76224,70296,71804,140257,162141,156481,111334,72144,28797,463364,222587,19363,18892,21021,11996,9460,18184,14107,17526,26623,27237,23205,9668,3810,1495,240777,17715,16232,20815,10844,9174,17776,16128,18677,31025,33251,25586,12329,7069,4156,34342,15969,1729,1397,1115,381,585,1213,1640,1202,3372,1908,1252,154,21,0,18373,1290,1220,1484,445,259,1666,2165,2480,2895,1814,1170,912,573,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",7497,4452,2034,3486,3703,1233,1871,2382,1716,1989,2233,1714,992,547,1693,1795,5016,1926,3546,3250,1326,1910,2115,1816,1539,1952,1376,907,373,2216,2219,4287,3128,1851,1913,2030,1165,1163,1980,1304,1731,1765,1620,1104,761,640,477,3331,1876,1949,1767,923,1498,1614,1553,1528,1415,1329,906,802,870,603,2594,1695,664,725,673,298,441,651,790,446,885,737,374,175,28,192,1525,479,634,585,261,234,716,773,676,782,794,465,447,460,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2011",,,"California","06",,,,,,,,,,,,,,,,,,"California",23698393,11838540,744361,753992,782373,502671,335772,881442,859390,814392,1592325,1722668,1421369,804834,446604,176347,11859853,710986,721736,739493,471343,306272,815152,796262,772927,1533653,1685921,1490895,907522,585108,322583,2253905,1115401,72082,74112,80117,54449,42117,97568,79001,75610,151697,170498,120789,60047,28886,8428,1138504,66463,69064,76743,51267,35940,94794,77050,74527,151636,174636,132134,75326,37274,21650,4970627,2354672,134766,141721,141792,93109,62291,182356,186471,176369,369728,341969,268999,147915,82528,24658,2615955,127973,133561,136501,85979,60467,176911,194223,202719,427957,393066,332318,185077,113691,45512,146894,71946,4042,5930,5043,4575,2937,6894,6334,7206,9339,10086,5144,3803,613,0,74948,4425,5269,4933,3264,3037,7464,5866,6767,10645,10853,6673,3551,1491,710,"California",65345,34309,7672,13006,12271,5314,5087,8606,8240,7721,9604,6923,5702,3740,5236,4762,38445,8291,12946,12354,6239,5107,8180,7098,7577,9961,8010,5818,4202,8230,8679,15479,10246,3842,4761,4401,2504,3167,3617,2990,2655,2913,3859,1775,1652,1527,1346,10148,3468,4536,4072,2534,2394,2412,2507,2490,2521,3106,2080,1233,2282,2137,17933,11166,4146,5495,5177,2575,1839,3762,2544,2527,3568,2896,2606,1335,2694,2329,10016,3478,5234,4687,2548,2009,3590,2410,2658,3639,2963,2133,1759,3079,2698,5678,3396,947,1081,1038,1192,853,1177,1061,1384,1352,1448,800,910,280,208,3594,1103,1173,1050,925,914,1347,1069,1223,1415,1086,1140,815,657,313
"G080","2011",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4318187,2165440,137957,135937,143835,82976,59163,155200,162766,155703,303929,315971,277335,142709,69838,22121,2152747,127933,139861,127226,75474,53856,141651,152690,147719,288194,319579,287030,156149,87729,47656,203243,107692,7987,6324,7259,4086,3458,8736,9291,10115,17048,16404,10028,4844,1632,480,95551,6720,7984,5292,5199,2886,8202,6880,7182,13054,13502,9864,5168,2313,1305,143760,63993,4094,3759,6174,2814,1911,4742,4986,5689,11463,8686,4864,2727,1351,733,79767,4716,6569,5470,2437,1555,5684,5630,6734,15651,10436,8111,3610,2576,588,5949,3303,418,324,297,92,0,203,486,305,619,383,176,0,0,0,2646,275,83,460,82,41,299,367,226,467,45,301,0,0,0,"Colorado",17394,10622,2992,5373,5207,2488,1814,2485,2593,2093,3074,2412,1467,1459,1879,1688,8835,2478,4857,5038,1769,2160,2835,2183,2406,2632,2404,1558,1202,2367,2257,4916,2892,1162,1563,1546,639,520,963,1170,1305,1109,1105,736,496,409,266,3398,963,1377,1237,1102,1106,1236,1154,960,1042,780,610,432,477,465,3834,2586,967,955,1223,667,756,817,861,882,1422,1102,656,534,429,401,2770,1126,1265,1210,657,509,775,681,913,1366,1116,876,587,805,256,641,598,293,227,210,121,201,280,264,224,401,278,167,201,201,201,493,196,159,298,88,88,240,205,200,306,59,267,201,201,201
"G090","2011",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2787171,1356044,66153,79597,88426,56155,38163,84382,78137,73211,169824,231354,193624,108174,62060,26784,1431127,64674,77678,80584,52844,36797,78569,75940,74678,178418,239354,204318,123809,86978,56486,359683,171824,12893,14081,13066,9589,7166,14708,12326,11930,24148,24782,15152,7434,3267,1282,187859,11662,12833,14799,8767,6352,13133,13454,14142,26930,27378,19238,11019,5731,2421,141081,66463,4863,4611,6162,2400,2489,4034,5637,6665,12277,8570,5242,2417,1051,45,74618,5134,4817,5703,2962,2842,4301,6847,7730,14059,9238,6362,2891,1617,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",11468,6338,1707,3446,3705,1169,884,1580,1522,1740,2121,1586,1073,752,1606,1521,6412,1544,3579,3286,839,742,1401,1281,1442,1677,1792,1127,643,2955,2842,5702,3216,1411,1630,1672,815,429,940,1003,680,1047,1094,658,467,554,493,3255,868,1653,1642,627,580,861,1047,946,1128,856,692,544,602,639,2409,1732,517,906,985,545,547,677,747,645,548,429,668,548,427,75,1649,521,715,683,465,649,821,426,694,810,553,311,511,469,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2011",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",636680,309585,16603,18278,16666,11150,8657,21680,20432,17705,37621,47776,43568,28709,14893,5847,327095,16464,16111,18307,11014,8013,22316,19754,17821,38288,49284,47250,32653,21113,8707,193899,92419,7020,7166,8143,4883,3507,7941,6325,5677,12661,12807,9130,5244,1424,491,101480,6216,7436,7757,4173,3843,7520,6531,6628,14479,14829,11576,6050,3328,1114,29930,14652,1079,1192,795,776,273,1045,1205,1273,2889,1677,1023,1078,292,55,15278,1044,1047,565,639,239,1049,1667,1632,2707,1555,1500,1374,260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",4729,2864,792,1490,1579,440,553,734,901,517,845,491,320,266,909,891,2439,616,1447,1718,368,224,599,790,495,684,581,334,246,1213,1207,2993,1790,708,1201,1430,709,560,522,41,428,560,282,199,283,413,315,1863,784,1725,1727,722,659,783,386,328,687,543,292,420,498,546,1168,897,248,421,312,320,240,289,157,199,367,184,28,478,188,88,653,124,310,229,356,276,324,319,258,418,316,319,448,202,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2011",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",246505,123838,5780,3543,2602,1030,4475,12706,20670,16347,20702,13903,11326,6806,2644,1304,122667,5516,2860,2661,1192,6539,14837,22652,15671,16506,10293,11776,6940,2836,2388,309845,140943,10086,8543,9554,6113,5383,11773,9303,8472,16686,21412,17535,9148,5643,1292,168902,9200,9288,8452,5925,5815,13676,11813,10948,19749,24471,22198,13078,9513,4776,22510,9123,268,43,216,103,489,1241,1425,1404,2126,639,914,90,165,0,13387,383,295,0,321,812,1899,2411,2032,2227,1189,868,562,203,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",3665,2493,460,685,769,14,1387,1230,633,635,653,606,507,306,476,476,1841,438,692,710,256,1545,1534,517,498,674,414,444,253,503,517,2181,1430,343,1088,1046,352,198,336,421,435,301,234,234,208,450,470,1339,438,1396,1375,569,240,280,303,338,461,249,258,228,786,787,968,656,166,79,205,185,664,590,375,294,660,597,253,110,245,200,727,238,289,200,291,473,449,345,225,462,477,124,230,230,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2011",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",14535897,7126879,365261,374639,392598,251975,174293,458805,434200,412112,906281,1059939,956624,731814,450346,157992,7409018,346760,362246,371011,234713,161474,436168,416442,399368,890483,1085265,1058520,823728,556255,266585,3046628,1462986,114142,116637,122497,76142,60225,133566,110186,101882,186660,195903,134633,69956,33145,7412,1583642,113289,109216,118883,71550,57381,130893,119960,111296,216428,215390,160887,89498,48364,20607,463164,214255,13242,13402,11308,8139,5721,18653,19354,16534,35430,29163,23758,12244,6039,1268,248909,10534,12260,15904,8529,6323,17041,20752,19193,43827,36473,30129,18213,7806,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",31466,16918,4545,10119,9651,3385,4666,5422,4660,5238,5554,5305,3099,2494,6835,6059,19550,3664,9573,10075,4289,4611,4821,4653,3406,5800,4520,3527,2701,7513,7870,20255,10942,3892,5863,6194,2945,3551,4126,3851,4515,3862,3969,2474,2297,1874,1361,13074,4474,6052,4732,2859,3100,3754,3044,3392,4110,4233,2631,2659,2394,1964,8849,5961,1975,2083,1856,1368,1542,2197,1763,1887,2083,1992,1624,1230,1294,466,5283,1457,1680,2099,1415,1454,1985,2159,1636,2399,1865,1734,1914,1458,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
