GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,OIME001,OIME002,OIME003,OIME004,OIME005,OIME006,OIME007,OIME008,OIME009,OIME010,OIME011,OIME012,OIME013,OIME014,OIME015,OIME016,OIME017,OIME018,OIME019,OIME020,OIME021,OIME022,OIME023,OIME024,OIME025,OIME026,OIME027,OIME028,OIME029,OIME030,OIME031,OIOE001,OIOE002,OIOE003,OIOE004,OIOE005,OIOE006,OIOE007,OIOE008,OIOE009,OIOE010,OIOE011,OIOE012,OIOE013,OIOE014,OIOE015,OIOE016,OIOE017,OIOE018,OIOE019,OIOE020,OIOE021,OIOE022,OIOE023,OIOE024,OIOE025,OIOE026,OIOE027,OIOE028,OIOE029,OIOE030,OIOE031,OISE001,OISE002,OISE003,OISE004,OISE005,OISE006,OISE007,OISE008,OISE009,OISE010,OISE011,OISE012,OISE013,OISE014,OISE015,OISE016,OISE017,OISE018,OISE019,OISE020,OISE021,OISE022,OISE023,OISE024,OISE025,OISE026,OISE027,OISE028,OISE029,OISE030,OISE031,OIUE001,OIUE002,OIUE003,OIUE004,OIUE005,OIUE006,OIUE007,OIUE008,OIUE009,OIUE010,OIUE011,OIUE012,OIUE013,OIUE014,OIUE015,OIUE016,OIUE017,OIUE018,OIUE019,OIUE020,OIUE021,OIUE022,OIUE023,OIUE024,OIUE025,OIUE026,OIUE027,OIUE028,OIUE029,OIUE030,OIUE031,NAME_M,OIMM001,OIMM002,OIMM003,OIMM004,OIMM005,OIMM006,OIMM007,OIMM008,OIMM009,OIMM010,OIMM011,OIMM012,OIMM013,OIMM014,OIMM015,OIMM016,OIMM017,OIMM018,OIMM019,OIMM020,OIMM021,OIMM022,OIMM023,OIMM024,OIMM025,OIMM026,OIMM027,OIMM028,OIMM029,OIMM030,OIMM031,OIOM001,OIOM002,OIOM003,OIOM004,OIOM005,OIOM006,OIOM007,OIOM008,OIOM009,OIOM010,OIOM011,OIOM012,OIOM013,OIOM014,OIOM015,OIOM016,OIOM017,OIOM018,OIOM019,OIOM020,OIOM021,OIOM022,OIOM023,OIOM024,OIOM025,OIOM026,OIOM027,OIOM028,OIOM029,OIOM030,OIOM031,OISM001,OISM002,OISM003,OISM004,OISM005,OISM006,OISM007,OISM008,OISM009,OISM010,OISM011,OISM012,OISM013,OISM014,OISM015,OISM016,OISM017,OISM018,OISM019,OISM020,OISM021,OISM022,OISM023,OISM024,OISM025,OISM026,OISM027,OISM028,OISM029,OISM030,OISM031,OIUM001,OIUM002,OIUM003,OIUM004,OIUM005,OIUM006,OIUM007,OIUM008,OIUM009,OIUM010,OIUM011,OIUM012,OIUM013,OIUM014,OIUM015,OIUM016,OIUM017,OIUM018,OIUM019,OIUM020,OIUM021,OIUM022,OIUM023,OIUM024,OIUM025,OIUM026,OIUM027,OIUM028,OIUM029,OIUM030,OIUM031
"G010","2012",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3333371,1637947,97644,101082,103912,63116,46252,110021,101125,99782,212186,237894,219364,150079,74176,21314,1695424,89319,97114,99724,58154,43765,105785,101698,100849,209479,240866,232527,171164,101179,43801,1276164,594936,47292,45812,49056,29363,22852,55163,39974,37786,75338,76959,66346,31753,14076,3166,681228,45084,45352,47620,27869,22640,58016,47824,49381,88902,91414,80166,42806,23438,10716,58679,25142,1399,1845,1981,1246,782,2526,1671,1416,5830,3084,1532,1177,406,247,33537,1856,3128,1782,1222,701,2794,2080,3372,7542,3543,2987,1790,521,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",7259,4199,2252,3909,3798,1210,2267,3053,2201,1776,2211,1179,742,613,1803,1755,4340,1639,4270,4047,951,2097,2315,1622,1567,1727,1182,769,510,2159,2057,5768,3546,1571,2759,2767,1389,1811,1908,1419,1800,2927,1768,1219,1262,1108,729,4280,1758,3221,2807,1302,1643,2092,1415,2099,2439,1834,889,1168,1367,1173,2991,1933,524,720,625,580,419,1050,923,674,1103,693,527,401,238,303,2125,620,905,682,606,444,841,794,967,1305,867,604,616,346,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2012",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",486551,257237,15341,15253,13771,9286,7150,20822,20842,18846,33204,40608,38268,16857,5847,1142,229314,14163,14163,13500,8564,4469,16665,18308,16250,30935,36050,32827,14596,5962,2862,26207,15201,1080,1149,769,446,383,2323,1439,1537,2372,1655,1538,326,184,0,11006,851,1112,945,296,368,826,1079,1088,1530,1174,1109,333,266,29,42790,20179,1302,671,2377,1072,1036,1786,1132,1176,3359,2540,2483,407,296,542,22611,1233,1917,1443,1054,368,1484,1886,1502,3994,2800,2585,1851,348,146,8231,3643,538,570,64,217,377,251,428,137,399,270,60,79,253,0,4588,372,774,212,371,119,387,555,430,454,454,188,262,10,0,"Alaska",2351,1347,461,1313,1353,347,882,965,703,346,560,649,374,336,426,395,1579,642,1010,1021,515,691,649,895,372,763,725,249,373,728,644,1482,1173,574,484,389,364,257,946,545,655,653,339,331,260,193,143,1188,494,454,456,363,310,288,520,711,604,554,487,303,300,48,2209,1024,279,400,636,368,577,529,507,444,649,506,288,264,243,337,1707,410,682,538,512,333,495,525,276,757,743,377,452,261,169,982,873,225,379,29,220,409,187,355,161,216,215,89,129,325,143,735,225,531,277,453,218,267,352,305,365,379,161,325,17,143
"G040","2012",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5164199,2561153,160412,170198,169464,100992,66908,177991,170367,167928,321388,335392,313486,240125,125879,40623,2603046,152431,160330,163125,96131,62008,169220,160132,161344,316379,342412,344796,262501,145895,66342,286343,150992,10694,12564,12255,7242,5900,15308,12311,11849,21694,19364,13072,6068,2450,221,135351,10940,9398,11327,6999,5591,11241,10373,9458,18675,18002,12072,7173,3130,972,190390,88012,5727,6471,5441,3310,2678,7172,8259,8297,15546,11087,7229,4165,1952,678,102378,5140,4966,6775,3345,2143,6097,8817,10282,19200,13429,11318,6891,3232,743,12037,6412,442,497,694,351,79,810,532,711,1105,468,437,244,42,0,5625,476,715,647,74,124,176,512,581,847,512,470,302,189,0,"Arizona",17980,10353,3090,5472,5439,2053,1830,2768,2540,2679,3466,2526,2223,1178,2585,2408,10059,2747,6025,5056,2046,1896,2567,2537,2284,3170,2353,1823,1583,3349,3289,6487,4261,1266,1556,1708,753,776,1325,1555,1092,1475,803,813,563,490,197,3979,1686,1537,1711,809,760,1077,791,655,892,1415,863,566,569,350,4062,2433,833,1439,1211,572,508,974,625,902,968,797,414,641,450,355,2504,950,925,1158,328,367,762,762,788,987,855,728,669,555,345,1880,1232,240,358,363,307,147,590,440,539,314,282,255,298,73,198,1215,324,361,398,117,199,242,431,384,343,348,249,215,214,198
"G050","2012",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2307951,1135921,69277,77186,71419,44252,29425,78126,71976,73112,143960,158309,144964,105379,53926,14610,1172030,65941,71210,69315,42124,27737,75897,71526,70204,143711,160195,156179,117700,69679,30612,462182,222577,18848,18699,21975,10772,9085,19097,16480,14309,26138,27620,23666,10467,4164,1257,239605,17553,18457,17984,10536,8913,18267,19012,17145,30304,31385,27081,12231,6755,3982,39448,19125,1893,1689,1155,774,783,1897,1297,1541,3669,1822,1699,747,159,0,20323,725,2248,940,439,956,1222,2474,2129,3620,2341,1941,938,350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",5816,3815,1671,2886,2985,1348,1832,1825,1640,1666,1796,1235,661,696,1489,1401,3334,1357,3712,3414,1380,1599,1652,1360,1321,1478,1418,725,613,1988,1895,3398,2630,1421,1905,2087,963,1341,1667,1402,1485,1444,1388,823,901,605,378,2887,1341,1971,1792,931,1232,1536,1302,1307,1662,1384,926,795,736,788,1924,1325,646,517,575,388,390,596,476,394,743,606,614,446,178,184,1398,303,795,387,296,521,598,919,757,709,614,599,433,285,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2012",,,"California","06",,,,,,,,,,,,,,,,,,"California",23628545,11812634,733155,741066,762767,480394,329112,889132,858489,823985,1570879,1691351,1436584,864417,448304,182999,11815911,694043,722778,718118,461844,304105,803007,786935,771631,1506266,1669753,1498666,966541,580302,331922,2263723,1121222,70791,75965,78880,52969,39193,99810,82591,76670,148494,170201,125432,61585,30936,7705,1142501,66856,71214,70356,50267,35244,93681,79533,77279,149796,171702,137646,77737,42647,18543,5120354,2421205,137804,146658,141512,92651,65481,183598,191598,184732,378893,344179,280471,159940,87141,26547,2699149,130364,135413,141564,88184,61327,181091,196017,209580,442640,400876,345163,198807,118339,49784,146712,71686,4617,4558,4778,3025,2546,7265,5727,7318,11173,9509,7114,2456,1528,72,75026,5505,4923,3953,3648,3346,5674,6169,4634,12433,11070,8068,3969,1515,119,"California",58000,34476,7540,10655,11969,6406,4677,7673,7014,6945,8385,7781,5207,3479,5081,5118,30485,6823,11989,10598,5597,4349,6751,7121,6326,8435,6429,4758,3998,8013,7501,17267,9099,3357,3684,3691,2462,1904,3456,2542,2057,3194,2724,1825,1219,1268,1183,10432,3044,4237,3689,2176,1934,2694,2349,2243,2497,2331,1757,1067,2086,1825,18065,10531,2840,4608,4108,2420,1685,3137,3025,2852,2907,2431,2577,1940,2219,1974,10937,3234,4650,4847,2293,1928,3050,2979,2433,2785,3035,1983,1663,3009,2923,4467,2730,1103,829,914,955,562,997,817,1407,1435,1308,848,736,778,91,3052,1079,850,823,730,924,1202,1049,870,1314,1158,1052,977,587,115
"G080","2012",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4376673,2190986,136343,146502,136108,82993,62972,150688,163148,163014,303412,310956,282603,156711,72015,23521,2185687,127843,136711,134311,75161,56226,143661,151699,151249,288586,316614,294018,170163,94410,45035,218292,116679,8272,11236,8677,4671,3215,10745,8915,9521,16352,17071,11099,4527,1975,403,101613,7712,7706,8246,5408,3569,8599,7299,7449,12944,14158,9874,5041,2287,1321,147082,67432,5521,4888,3974,1670,1280,6577,5474,7229,11760,8531,5755,2863,1336,574,79650,4688,4729,5863,2682,2062,4262,7376,5882,13634,11692,9070,4968,1965,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",16745,8721,2476,4398,4508,1452,2021,2443,2262,2518,2864,2084,1383,1094,1962,1912,10077,2661,5230,4187,1723,1773,2424,2286,1750,2203,2126,1517,1253,2217,2086,5494,3577,857,1791,1139,660,855,1489,1072,1135,963,1223,779,583,415,263,3457,1041,1248,1167,829,431,1042,760,749,936,826,572,472,437,361,4322,2391,808,736,869,495,470,899,833,849,1134,912,533,454,417,275,2737,920,955,1128,897,636,799,703,593,1170,670,626,633,616,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","2012",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2804972,1364400,66674,78135,86164,56889,41235,83418,80936,75981,165329,228610,196334,115654,62151,26890,1440572,64788,74675,83124,51965,38747,79699,78302,75516,175773,236384,207567,131853,88017,54162,366350,175349,13782,13258,13649,8569,7607,17161,12606,11795,23380,24951,15832,8176,3679,904,191001,11613,12386,13961,8745,6939,15956,12169,14013,26784,27594,20399,11873,5656,2913,147830,70594,5879,5648,4676,2010,1439,6202,5838,6291,12644,9554,6316,2825,1224,48,77236,5134,4969,5351,3242,1868,5045,6925,8002,14955,9582,7039,3145,1684,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",10799,6880,1617,3595,3033,1170,1153,1409,1629,1619,1868,1465,1090,550,1615,1597,5830,1482,3170,3123,871,887,1345,1153,1538,1735,1528,1117,879,1737,1777,6418,3561,1182,1502,1693,783,836,1300,768,878,1207,1089,555,508,458,385,3950,967,1728,1866,1158,709,1129,845,873,1384,1257,709,650,655,575,2290,1683,489,757,904,599,478,1007,450,741,591,611,407,250,222,86,1522,708,870,845,569,595,709,481,710,732,512,436,528,477,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2012",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",639294,311246,16577,18345,17310,11129,8309,21961,19690,18278,36137,47666,43585,31230,16347,4682,328048,17018,16792,16329,10883,8730,21935,19261,18510,37732,48204,47847,35054,19877,9876,196950,93142,6631,7198,8399,4778,3626,7879,6244,5981,11912,13351,9449,5039,1835,820,103808,6412,6965,7720,4473,3452,8009,7363,6468,14340,16006,11718,6438,3026,1418,30632,14292,1086,969,769,577,199,1233,1047,1543,2552,1860,1254,773,310,120,16340,1109,1036,778,571,318,1334,1616,1603,2603,2127,1654,766,769,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",3995,2310,648,1420,1668,446,286,615,800,559,713,909,335,395,953,941,2520,763,1500,1414,598,369,573,694,625,867,636,295,460,1273,1203,2945,1558,934,1115,1180,300,683,832,535,155,515,226,118,130,337,334,2046,673,1235,1048,423,696,640,337,530,861,528,210,86,424,424,1597,1003,214,410,311,241,220,396,175,303,349,323,165,251,218,142,853,226,395,297,292,329,344,181,353,385,363,232,290,425,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2012",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",250657,123557,6241,3819,2386,1303,3549,11831,20010,18084,19769,14286,10894,7207,3082,1096,127100,6928,3448,2235,1440,5307,15297,23444,16620,17347,10550,11109,7595,3589,2191,313224,141876,9952,10081,8216,5795,4953,12129,10190,9287,16188,20425,18214,9672,5331,1443,171348,9482,9395,8354,6121,5765,14087,12546,11601,19565,23906,22943,13448,9733,4402,21858,8926,596,76,48,111,903,801,958,1551,2235,494,565,362,195,31,12932,496,407,346,0,1080,865,2363,2318,2188,1015,999,438,161,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",4014,2363,535,683,607,221,1104,1223,652,667,889,641,408,268,566,515,2132,463,576,607,342,1387,1429,749,490,692,515,366,383,626,594,2333,1419,517,1300,1209,208,263,233,435,401,339,470,332,157,449,439,1281,295,1287,1230,242,300,262,196,385,439,448,444,240,667,660,1613,902,308,92,82,138,542,439,418,282,397,318,227,131,134,51,1060,350,287,184,197,550,511,341,264,324,191,48,250,148,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2012",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",14742516,7229755,361281,379984,400756,248056,171110,465926,444824,426343,906359,1060770,958018,779435,455771,171122,7512761,346288,360459,379863,237140,160603,443107,423609,414262,890678,1083520,1060782,878996,553068,280386,3105799,1486894,115837,122944,112331,75177,57044,139953,112675,103206,191005,198840,142506,73929,33009,8438,1618905,114912,117099,112669,72709,51469,146119,122126,115743,212834,217620,169851,95467,50544,19743,488052,225148,13766,14579,14249,8397,7309,16481,17780,18417,41011,28427,24099,14319,5133,1181,262904,13293,15808,14413,8320,4851,18118,21711,20719,44403,39028,32368,20208,7031,2633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",22798,13852,3652,8618,8881,2985,2884,4765,2896,3066,4224,3843,2849,2296,5709,5602,13815,3351,8075,8237,2682,2818,4574,3522,3483,3934,4365,3366,2272,7821,7548,17159,11861,3901,5039,4908,2691,2748,3925,3476,3277,3885,3267,2527,1770,2032,1234,10060,3219,5509,5193,1952,2106,3670,2592,2671,3019,2982,2525,1979,2077,2025,7850,5220,1576,1715,1698,1312,1413,1842,1497,1118,1851,1771,1462,1230,908,461,5212,1384,2184,1537,1211,960,1761,1704,1539,2206,1970,1521,1628,1077,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
