GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,SATE001,SATE002,SATE003,SATE004,SATE005,SATE006,SATE007,SATE008,SATE009,SATE010,SATE011,SATE012,SATE013,SATE014,SATE015,SATE016,SATE017,SATE018,SATE019,SATE020,SATE021,SATE022,SATE023,SATE024,SATE025,SATE026,SATE027,SATE028,SATE029,SATE030,SATE031,SAVE001,SAVE002,SAVE003,SAVE004,SAVE005,SAVE006,SAVE007,SAVE008,SAVE009,SAVE010,SAVE011,SAVE012,SAVE013,SAVE014,SAVE015,SAVE016,SAVE017,SAVE018,SAVE019,SAVE020,SAVE021,SAVE022,SAVE023,SAVE024,SAVE025,SAVE026,SAVE027,SAVE028,SAVE029,SAVE030,SAVE031,SAZE001,SAZE002,SAZE003,SAZE004,SAZE005,SAZE006,SAZE007,SAZE008,SAZE009,SAZE010,SAZE011,SAZE012,SAZE013,SAZE014,SAZE015,SAZE016,SAZE017,SAZE018,SAZE019,SAZE020,SAZE021,SAZE022,SAZE023,SAZE024,SAZE025,SAZE026,SAZE027,SAZE028,SAZE029,SAZE030,SAZE031,SA1E001,SA1E002,SA1E003,SA1E004,SA1E005,SA1E006,SA1E007,SA1E008,SA1E009,SA1E010,SA1E011,SA1E012,SA1E013,SA1E014,SA1E015,SA1E016,SA1E017,SA1E018,SA1E019,SA1E020,SA1E021,SA1E022,SA1E023,SA1E024,SA1E025,SA1E026,SA1E027,SA1E028,SA1E029,SA1E030,SA1E031,NAME_M,SATM001,SATM002,SATM003,SATM004,SATM005,SATM006,SATM007,SATM008,SATM009,SATM010,SATM011,SATM012,SATM013,SATM014,SATM015,SATM016,SATM017,SATM018,SATM019,SATM020,SATM021,SATM022,SATM023,SATM024,SATM025,SATM026,SATM027,SATM028,SATM029,SATM030,SATM031,SAVM001,SAVM002,SAVM003,SAVM004,SAVM005,SAVM006,SAVM007,SAVM008,SAVM009,SAVM010,SAVM011,SAVM012,SAVM013,SAVM014,SAVM015,SAVM016,SAVM017,SAVM018,SAVM019,SAVM020,SAVM021,SAVM022,SAVM023,SAVM024,SAVM025,SAVM026,SAVM027,SAVM028,SAVM029,SAVM030,SAVM031,SAZM001,SAZM002,SAZM003,SAZM004,SAZM005,SAZM006,SAZM007,SAZM008,SAZM009,SAZM010,SAZM011,SAZM012,SAZM013,SAZM014,SAZM015,SAZM016,SAZM017,SAZM018,SAZM019,SAZM020,SAZM021,SAZM022,SAZM023,SAZM024,SAZM025,SAZM026,SAZM027,SAZM028,SAZM029,SAZM030,SAZM031,SA1M001,SA1M002,SA1M003,SA1M004,SA1M005,SA1M006,SA1M007,SA1M008,SA1M009,SA1M010,SA1M011,SA1M012,SA1M013,SA1M014,SA1M015,SA1M016,SA1M017,SA1M018,SA1M019,SA1M020,SA1M021,SA1M022,SA1M023,SA1M024,SA1M025,SA1M026,SA1M027,SA1M028,SA1M029,SA1M030,SA1M031
"G010","2013",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3330478,1636606,90238,98826,105777,61786,43328,115323,101647,102085,207884,234831,220923,155370,76636,21952,1693872,89567,93320,98773,59459,42933,107515,99443,99359,209208,236583,232634,176843,104457,43778,1284102,596857,43468,43747,52523,26890,24226,56127,40254,41352,70558,77342,69893,34418,11807,4252,687245,45721,41927,49123,28986,24317,58694,47236,47797,92165,89324,83465,44097,22606,11787,58624,25870,1665,1816,1488,994,1114,1665,2638,2649,4023,4210,2083,824,701,0,32754,1853,2248,2819,1591,1451,2307,1971,2296,5333,4723,2116,3014,671,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",7452,4826,1750,3760,3907,1421,2561,3289,2833,2145,2105,1648,921,729,1999,1861,4518,1750,4386,4161,1436,2099,2868,1696,1654,2412,1394,769,759,2902,2641,5822,4665,2232,2811,3629,1291,1916,2986,1953,2599,2480,2221,1324,1490,1166,919,4533,2242,2749,3041,1704,1800,2344,1812,1985,2623,1886,1098,1497,1554,1429,3007,1804,616,674,598,635,733,722,791,789,900,768,569,403,456,192,2113,731,826,783,642,593,744,730,604,841,871,648,814,373,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2013",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",487762,260408,16245,14208,15568,9096,8375,20908,21780,20030,32592,37892,37820,18058,5826,2010,227354,14525,12529,14766,7893,6140,15431,17868,16807,29340,34505,32925,15619,6302,2704,25077,14196,426,892,996,336,711,1917,1360,842,2135,1992,1941,345,301,2,10881,1399,750,1629,618,292,1103,783,376,1202,1848,369,315,184,13,41775,20307,1309,1813,1745,977,515,2140,1828,1463,2106,2916,1887,1134,212,262,21468,1021,1304,1391,1309,386,1438,1501,1782,3489,3233,2737,996,783,98,8794,4223,127,932,379,215,286,52,838,381,361,274,306,55,17,0,4571,605,606,481,294,65,451,566,256,551,604,26,66,0,0,"Alaska",2607,1664,521,1440,1542,792,1212,1321,627,687,481,530,480,610,906,628,1828,651,1431,1482,837,1137,1013,508,299,727,663,415,439,773,724,1949,1299,348,529,650,245,707,792,836,480,739,696,498,251,264,5,1181,680,415,558,437,409,576,555,240,418,562,274,258,210,32,2518,1573,435,829,636,516,322,636,575,597,534,662,335,497,222,318,1608,312,510,574,579,301,617,463,542,493,473,316,414,449,145,1026,742,173,364,311,183,257,62,452,350,290,293,364,95,41,147,622,426,371,309,266,115,324,457,326,339,407,54,113,147,147
"G040","2013",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5233466,2602090,161143,167925,174829,102967,68790,180387,170992,169290,325740,334913,317997,250636,134235,42246,2631376,147405,166943,161707,96996,64038,170660,158327,164669,317447,337989,348311,278740,151466,66678,277973,146735,10704,11635,10524,6367,5062,14707,11412,11081,22768,18846,14357,6834,1762,676,131238,9792,10424,9831,6403,5013,10965,9212,10701,18608,16576,13164,6755,2388,1406,191718,90196,6339,5615,5007,3136,2458,8020,8098,8568,16953,10826,7819,4520,2143,694,101522,5603,5720,4447,3559,2492,5658,7819,9394,19175,14621,11419,7002,3558,1055,12609,6668,391,336,382,251,770,1094,481,855,634,871,417,154,0,32,5941,718,972,200,109,261,369,512,752,808,414,379,335,112,0,"Arizona",20452,11044,2638,4968,5708,1952,2046,3124,3067,2359,2795,2638,1834,1629,2849,2757,12736,2491,4887,4913,2212,2135,2993,2487,2568,2961,2748,2252,1500,4005,3806,5853,3795,1392,1722,1322,768,783,1044,1180,1191,1391,920,760,708,451,327,3525,1065,1611,1746,1206,700,1014,924,842,1023,912,612,623,636,525,5359,2929,836,828,1062,583,472,876,872,729,1130,652,472,575,537,410,3431,922,1038,1030,569,491,959,496,908,889,880,537,574,686,446,1319,891,191,226,382,129,499,439,292,386,287,435,170,102,203,54,816,414,338,193,114,401,379,351,485,249,244,195,262,110,203
"G050","2013",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2305726,1136538,70263,76666,71467,43465,31009,77501,70789,73869,141536,155039,145562,108573,54830,15969,1169188,64546,71639,69553,41174,27585,74420,72375,71523,141902,156648,155252,121121,71476,29974,463928,227656,20365,20198,19333,12450,8370,18972,15896,16527,25369,28930,24315,10784,4567,1580,236272,15086,18309,16364,9757,7639,20227,16218,15806,33612,30800,27843,13483,7046,4082,39210,17690,1435,1200,1297,540,233,2291,2348,2148,2368,1731,1214,562,187,136,21520,1763,1905,1251,921,331,1464,1899,2639,3984,2247,2262,694,90,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",6481,4496,1847,3345,2967,1753,2277,2481,1842,1557,1808,1416,836,777,1382,1394,4616,1245,3530,3387,1717,2131,2296,1985,1877,1808,1176,769,475,1974,1816,4170,3625,1684,2344,1840,1266,1111,2078,2206,1586,2178,2159,877,737,772,637,3386,1387,2030,2041,1108,1340,1682,1163,1516,1822,1469,982,930,854,791,2372,1591,600,582,749,333,222,750,623,630,545,588,407,309,194,214,1869,601,721,564,541,238,552,675,800,926,727,754,357,119,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2013",,,"California","06",,,,,,,,,,,,,,,,,,"California",23741019,11875514,715849,752412,758975,471304,323769,889174,868252,844955,1551052,1678506,1464026,914625,456690,185925,11865505,692276,716028,716408,444644,299300,819085,800204,784738,1498465,1633831,1525956,1016782,585608,332180,2269021,1117770,69541,70811,76990,48485,38625,102257,86603,76829,146169,168882,127126,65671,29604,10177,1151251,65809,69948,74183,50570,33138,96486,82130,75323,150804,170724,140121,79929,43381,18705,5210236,2459476,136671,147417,139764,90569,62866,183060,199045,191368,379033,346491,293066,172088,87779,30259,2750760,129324,142452,132885,84591,62787,176716,202978,219771,440890,407467,360416,215111,119820,55552,142782,70917,3692,6485,5203,3218,3271,5205,6426,5442,10615,9229,6566,3827,1441,297,71865,3873,4734,5409,2845,1986,4880,6103,5885,12231,9803,6917,4728,1847,624,"California",60867,35587,7618,12731,12898,5036,4521,9734,9379,6465,7778,7663,5591,3968,5918,5052,31224,9198,11528,11253,5740,4856,8077,7322,6058,7846,6872,6072,4066,8106,7505,12513,7942,2618,4003,3642,1962,2138,3109,2409,2328,2524,2151,2133,1598,1477,1345,7868,2584,4188,4295,1961,1652,2808,2577,2406,2313,2261,2082,1526,2258,2106,17797,10086,2941,4795,4841,2130,2147,3479,2921,2688,2830,2983,2139,1506,2317,1980,10911,3243,3893,4228,2099,1856,2850,3137,2455,2806,2932,2001,1692,3163,3207,5004,3344,988,1573,1203,865,895,1063,1178,1261,1421,1361,826,787,599,222,2930,964,935,977,699,659,876,1031,914,1260,1254,884,985,675,323
"G080","2013",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4415852,2218289,134702,136506,147887,79216,61678,157088,165902,163393,306415,309860,286136,170051,77086,22369,2197563,121981,136141,136560,78670,54557,140304,152102,156108,290068,309963,297213,181635,95343,46918,209555,112699,7905,8019,7054,4617,4040,8664,9440,9128,18226,15985,12329,4714,1741,837,96856,5975,6546,7981,5474,2611,8310,7429,7164,11782,13555,10522,5588,2870,1049,150852,68921,4101,5236,5334,2207,2619,4209,6472,5672,12872,9135,5973,3098,1525,468,81931,3826,5196,5698,3476,2646,5470,6489,6899,14153,10759,8926,4301,3363,729,8315,4060,128,550,1086,60,40,398,393,212,759,251,115,68,0,0,4255,317,440,145,113,12,341,537,1320,383,124,467,0,56,0,"Colorado",16310,8895,2979,4845,4375,1630,2074,3552,2651,2012,2714,2733,1547,1211,1733,1664,9550,2752,4600,4388,2305,1827,2691,2452,2140,2631,2487,1288,1357,2963,2564,5662,3655,1062,1294,1333,708,1458,1574,1172,1118,1299,1283,779,511,519,506,3526,1060,1333,1318,803,593,1099,903,867,844,935,668,736,576,362,3675,2206,661,1127,963,404,668,775,872,894,1084,1061,827,703,523,225,2556,832,945,1021,720,733,837,899,907,986,759,595,905,640,349,1623,1199,194,466,678,101,87,272,260,211,450,269,106,89,195,195,979,282,271,146,156,28,251,355,791,231,136,266,195,88,195
"G090","2013",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2778681,1353292,65721,77374,86265,54801,40413,85783,79126,73905,160293,220493,199565,120915,60641,27997,1425389,60847,71135,81260,51887,39419,80684,76261,75851,168825,231775,209784,136748,82685,58228,370998,178281,13160,14707,12872,8680,6235,17263,13914,12404,24581,24177,16968,8439,4139,742,192717,11829,12786,13267,8015,6190,16365,13263,14016,26236,29578,20413,12389,5898,2472,147570,70789,4173,4890,5195,2555,2303,4634,6895,6579,13040,9649,6449,2852,1287,288,76781,4527,4700,5827,3120,2228,4579,6696,7248,15054,10113,6825,4078,1047,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",12024,7482,1321,3692,3641,1117,1001,2248,1692,1545,2327,1728,1114,879,1824,1818,6205,1667,3545,3629,1195,832,1527,1286,1391,2032,1677,1227,897,2742,2665,6001,4193,1444,1914,1820,774,532,1256,1205,1030,1530,1326,688,349,449,379,3533,1223,1737,1437,742,688,1045,1132,869,1241,1184,957,509,715,681,3638,2167,754,699,810,425,785,701,686,573,748,922,564,529,517,329,1959,602,934,848,282,594,696,573,650,650,730,613,697,503,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2013",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",637606,310286,17262,17027,17252,10468,7833,20642,19623,18464,36553,45854,44705,33014,16235,5354,327320,16076,17024,16602,9763,8240,20695,19788,18385,37389,47653,48122,37442,20401,9740,200249,94155,6906,7488,7517,5338,3079,8623,6094,6336,11921,12997,9732,5322,1774,1028,106094,6952,7068,7053,4641,3757,7944,7143,7402,14453,15746,12473,6836,3368,1258,33639,15731,854,815,1470,119,205,1373,1438,1657,3011,1809,1535,766,679,0,17908,1116,1189,1195,421,190,1693,1416,2044,2751,2662,1779,1202,199,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",5016,3075,540,1594,1632,358,292,956,1177,570,916,677,500,242,917,884,2490,648,1563,1478,384,362,616,486,513,996,555,366,304,1038,1039,4547,2912,806,1300,1111,592,613,1042,581,682,706,374,420,168,350,350,2614,653,1580,1347,666,591,671,372,566,858,263,369,255,489,479,1165,944,434,419,421,111,137,248,237,85,386,297,468,415,337,189,1036,190,400,350,296,173,723,158,393,263,662,450,274,206,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2013",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",264080,132675,7445,4117,2766,1398,3902,11755,21031,19513,22386,14676,11776,7331,3477,1102,131405,6472,4198,2446,1282,4311,14663,23730,18352,19267,11322,11584,8039,3480,2259,315504,142500,10208,9177,8850,5130,4771,12557,9940,9697,17214,20242,18292,9720,4732,1970,173004,10424,10733,7109,5550,5803,14747,12799,11807,20333,22949,22968,13886,9466,4430,22963,9607,399,569,83,125,827,1605,715,1363,2132,838,217,351,280,103,13356,539,145,418,49,365,1527,2271,2335,2776,929,1074,519,318,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",4748,2898,601,702,545,404,1173,1199,700,730,838,712,406,368,636,339,2459,816,546,706,252,1207,1304,599,619,745,570,456,372,572,550,3335,2199,628,1007,1235,401,241,400,642,267,575,317,400,39,448,458,1526,451,975,1082,154,259,483,477,391,493,423,386,354,846,785,1409,858,296,295,77,137,632,762,372,302,441,227,220,311,294,181,1023,248,118,204,78,242,379,486,328,316,265,58,247,253,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2013",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",14897782,7315145,362682,376865,407544,254284,169469,466690,456438,436930,898527,1053334,972321,815413,475950,168698,7582637,348225,370369,377290,232660,163136,434684,432343,419100,888075,1073555,1073513,918580,565591,285516,3141552,1511856,121064,113873,127132,75040,55675,140875,116272,106561,189677,192688,150756,79860,32764,9619,1629696,114081,112361,116296,71362,51531,143859,120154,114642,216430,215547,179448,98192,54291,21502,509588,235598,13629,16950,14812,9703,8347,16714,15320,18419,39131,34005,25495,15329,6419,1325,273990,12826,15987,14432,9067,7424,14838,18689,22970,49745,41386,34676,20195,8456,3299,8241,3453,438,98,56,48,276,249,744,215,345,405,243,179,85,72,4788,308,258,41,239,0,667,728,355,1144,501,235,265,17,30,"Florida",23979,14779,4712,9719,8740,2915,2708,4699,4933,3349,6294,4926,2864,2692,5681,5288,14873,3714,7525,7642,3178,3772,4535,3654,3129,4696,4423,3899,2665,7778,7228,17438,9451,3410,4414,4955,2852,2731,3187,3501,3483,4042,3510,2369,1895,1928,1277,11331,3583,5235,5663,2820,2412,2666,2525,2587,3669,3709,2178,2087,2192,2066,6878,4720,1411,1816,1567,1370,1682,1535,1292,1475,2429,1721,1512,1287,1098,569,5012,1574,1702,1794,1433,1409,1663,1123,1424,2214,1723,1542,1396,1244,1024,2264,1337,413,95,96,79,228,239,573,197,353,321,232,171,132,124,1433,316,263,78,286,218,525,474,371,762,389,214,269,28,55
