GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AAADE001,AAADE002,AAADE003,AAADE004,AAADE005,AAADE006,AAADE007,AAADE008,AAADE009,AAADE010,AAADE011,AAADE012,AAADE013,AAADE014,AAADE015,AAADE016,AAADE017,AAADE018,AAADE019,AAADE020,AAADE021,AAADE022,AAADE023,AAADE024,AAADE025,AAADE026,AAADE027,AAADE028,AAADE029,AAADE030,AAADE031,AAAFE001,AAAFE002,AAAFE003,AAAFE004,AAAFE005,AAAFE006,AAAFE007,AAAFE008,AAAFE009,AAAFE010,AAAFE011,AAAFE012,AAAFE013,AAAFE014,AAAFE015,AAAFE016,AAAFE017,AAAFE018,AAAFE019,AAAFE020,AAAFE021,AAAFE022,AAAFE023,AAAFE024,AAAFE025,AAAFE026,AAAFE027,AAAFE028,AAAFE029,AAAFE030,AAAFE031,AAAJE001,AAAJE002,AAAJE003,AAAJE004,AAAJE005,AAAJE006,AAAJE007,AAAJE008,AAAJE009,AAAJE010,AAAJE011,AAAJE012,AAAJE013,AAAJE014,AAAJE015,AAAJE016,AAAJE017,AAAJE018,AAAJE019,AAAJE020,AAAJE021,AAAJE022,AAAJE023,AAAJE024,AAAJE025,AAAJE026,AAAJE027,AAAJE028,AAAJE029,AAAJE030,AAAJE031,AAALE001,AAALE002,AAALE003,AAALE004,AAALE005,AAALE006,AAALE007,AAALE008,AAALE009,AAALE010,AAALE011,AAALE012,AAALE013,AAALE014,AAALE015,AAALE016,AAALE017,AAALE018,AAALE019,AAALE020,AAALE021,AAALE022,AAALE023,AAALE024,AAALE025,AAALE026,AAALE027,AAALE028,AAALE029,AAALE030,AAALE031,NAME_M,AAADM001,AAADM002,AAADM003,AAADM004,AAADM005,AAADM006,AAADM007,AAADM008,AAADM009,AAADM010,AAADM011,AAADM012,AAADM013,AAADM014,AAADM015,AAADM016,AAADM017,AAADM018,AAADM019,AAADM020,AAADM021,AAADM022,AAADM023,AAADM024,AAADM025,AAADM026,AAADM027,AAADM028,AAADM029,AAADM030,AAADM031,AAAFM001,AAAFM002,AAAFM003,AAAFM004,AAAFM005,AAAFM006,AAAFM007,AAAFM008,AAAFM009,AAAFM010,AAAFM011,AAAFM012,AAAFM013,AAAFM014,AAAFM015,AAAFM016,AAAFM017,AAAFM018,AAAFM019,AAAFM020,AAAFM021,AAAFM022,AAAFM023,AAAFM024,AAAFM025,AAAFM026,AAAFM027,AAAFM028,AAAFM029,AAAFM030,AAAFM031,AAAJM001,AAAJM002,AAAJM003,AAAJM004,AAAJM005,AAAJM006,AAAJM007,AAAJM008,AAAJM009,AAAJM010,AAAJM011,AAAJM012,AAAJM013,AAAJM014,AAAJM015,AAAJM016,AAAJM017,AAAJM018,AAAJM019,AAAJM020,AAAJM021,AAAJM022,AAAJM023,AAAJM024,AAAJM025,AAAJM026,AAAJM027,AAAJM028,AAAJM029,AAAJM030,AAAJM031,AAALM001,AAALM002,AAALM003,AAALM004,AAALM005,AAALM006,AAALM007,AAALM008,AAALM009,AAALM010,AAALM011,AAALM012,AAALM013,AAALM014,AAALM015,AAALM016,AAALM017,AAALM018,AAALM019,AAALM020,AAALM021,AAALM022,AAALM023,AAALM024,AAALM025,AAALM026,AAALM027,AAALM028,AAALM029,AAALM030,AAALM031
"G010","2014",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3320273,1628317,91780,94878,103496,61113,42706,112894,99552,102606,205449,230777,221850,160819,79368,21029,1691956,86154,88990,100203,60106,40722,105794,101688,101174,204573,234031,235767,182657,103280,46817,1291826,602320,47279,45890,47512,28968,21461,54154,42268,40590,77668,73813,68358,35499,15107,3753,689506,43432,43984,45792,29020,23802,56881,46999,49595,90999,90251,85694,46268,26181,10608,58456,27165,1054,2349,1641,1351,1606,2568,1579,2159,5422,4244,1592,897,662,41,31291,1833,1558,1653,1217,622,2321,3501,2114,5111,4565,3262,1631,1681,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",6197,4295,1966,4214,3948,1441,2310,2225,1852,1693,2289,1459,765,731,1878,1817,3964,1469,3352,3510,1391,2153,2628,1449,1447,1477,1345,1228,804,2784,2785,7415,4415,1881,3368,3596,2007,2293,2248,2132,2142,2872,2081,1451,1262,1236,773,5477,2405,3307,3157,1770,1893,2214,1582,1997,2911,2763,1101,1200,1646,1224,3055,2160,567,872,715,607,620,837,614,639,1042,831,682,522,394,93,1952,495,583,566,703,349,727,945,898,980,950,680,766,748,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2014",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",483584,257596,14571,14434,14405,8766,6413,22176,23004,19768,32656,36713,37157,19819,6393,1321,225988,14217,12699,14563,8756,4654,15638,17107,17093,30017,32028,33194,16484,6159,3379,24790,14399,329,583,824,366,1157,2426,2113,542,2313,2008,1063,259,416,0,10391,770,1122,931,111,393,703,486,691,1445,1273,844,542,851,229,43915,21122,1257,1449,1797,1010,945,2371,1297,1092,2888,2567,3171,948,169,161,22793,1324,1260,1416,864,1020,2294,1654,1428,3978,3009,2316,1202,564,464,8395,3899,448,618,310,117,0,642,246,61,954,218,258,27,0,0,4496,469,501,306,390,81,675,299,366,643,593,43,13,117,0,"Alaska",2777,1791,632,1254,1323,482,648,755,716,682,686,652,414,503,601,455,1814,750,1030,1140,499,715,990,472,680,741,389,176,371,831,809,2506,1552,411,465,715,335,841,1048,883,431,885,736,533,268,466,145,1704,935,482,493,89,419,459,452,458,599,601,517,398,631,284,2139,1339,344,445,457,498,490,696,384,325,531,351,637,510,213,242,1279,332,485,472,464,421,629,219,359,467,495,418,413,305,369,1144,781,203,427,230,106,145,429,200,77,486,169,217,48,145,145,715,201,350,185,323,133,314,263,276,333,266,54,27,133,145
"G040","2014",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5273335,2620038,154103,171244,168308,101312,69828,184749,170275,168464,321401,336670,324137,265302,142338,41907,2653297,147082,157142,164690,97860,63928,172689,158489,160096,318252,337538,353759,293823,157718,70231,280518,147478,11470,12995,8596,5975,5313,13522,12004,12194,21911,18383,14582,6922,2929,682,133040,10021,8951,10523,5669,3805,11666,10712,10441,18046,16161,14061,7456,4104,1424,212116,97513,6474,6100,7128,3465,2374,8301,9192,9130,16910,11952,7793,5378,2672,644,114603,7101,6507,7322,3234,2552,7970,8542,9744,20199,15299,12994,8446,3768,925,12721,6578,448,242,581,500,250,531,398,759,1034,1089,340,255,151,0,6143,392,648,689,221,389,483,515,797,728,568,616,97,0,0,"Arizona",23780,13344,2947,5137,5771,2454,2194,3295,3055,2443,3259,2987,1733,1332,2432,2328,13073,2777,5455,4722,2217,2183,3179,2530,2619,3300,3082,2021,1177,3540,3612,6306,4295,1272,2005,1377,1036,1009,1354,1063,1045,1334,671,755,463,683,482,3310,1101,1385,1547,981,706,1250,832,716,960,796,677,536,949,540,4644,3129,617,1183,1290,589,609,955,820,615,1110,599,708,537,548,398,2854,1131,1041,1357,543,445,791,718,830,1122,556,928,680,489,466,1540,831,123,162,338,270,199,213,213,336,329,445,185,142,133,200,1029,326,350,281,138,283,239,333,362,238,306,217,115,200,200
"G050","2014",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2322472,1146404,70619,74222,73023,44293,31342,78845,72490,75332,143740,152342,145803,111586,57169,15598,1176068,65655,69570,70754,41832,28658,74253,72188,71573,144625,153190,156276,125140,68012,34342,468231,222887,18927,18720,17566,12364,8516,20338,15332,13848,28094,26587,24683,11552,4569,1791,245344,16774,19364,18519,10973,8534,20703,16769,16545,32897,30111,28669,13671,8610,3205,36555,17770,1157,1587,1564,900,278,1386,2043,1219,3070,2347,1717,199,303,0,18785,559,924,1001,737,323,674,2321,1431,4011,3506,1596,1145,467,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",6143,4279,1697,3386,3473,1367,2140,2377,1566,1849,2163,1376,818,812,1692,1596,3447,1637,3438,3589,1208,1672,1816,1537,1329,1730,1093,953,645,1812,1767,4648,3514,1651,2066,2099,1251,1293,2171,1620,1668,1993,1787,723,856,816,544,3442,1330,2253,2153,1331,1533,1781,1294,1359,2134,1620,876,741,994,824,2279,1260,481,525,624,358,256,541,706,669,808,836,442,170,210,190,1612,331,478,347,438,238,415,609,564,875,801,395,528,302,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2014",,,"California","06",,,,,,,,,,,,,,,,,,"California",23814044,11889237,722819,747312,739693,466439,316882,873565,884235,848809,1548324,1648808,1486460,951045,472941,181905,11924807,695563,703651,716402,439293,297360,809461,821351,798076,1486164,1628357,1538707,1065033,593966,331423,2259681,1113405,69493,71386,70051,48604,33554,102143,92623,78608,144810,159751,133160,67824,33222,8176,1146276,68015,71238,68623,45922,34468,91501,84646,78897,144144,165318,144373,84496,45962,18673,5398090,2555182,141954,140581,147512,91902,67048,182569,211540,201911,387465,361024,304608,186646,99166,31256,2842908,131438,140061,140628,82847,63563,179378,215022,227027,451166,422106,372472,231387,127944,57869,150072,73757,5195,4278,4514,2471,2538,6292,8269,5262,12882,8858,7773,3498,1809,118,76315,3397,4915,4746,3451,2413,5781,6651,6344,13431,10362,8542,4216,1968,98,"California",55051,32169,8142,11460,10907,4888,4656,7208,7413,6743,9304,8095,6315,3976,5593,5358,30490,8288,11864,10478,5362,3966,7146,6130,6200,8356,7085,5740,4187,7843,7204,15273,8713,3166,3677,3755,1837,1904,3248,2395,2284,3182,2932,1773,1480,1402,1162,10447,3348,4277,3970,1957,2035,2643,2835,2312,2687,1964,1586,1152,2076,1826,18287,9672,2876,4613,5056,1919,2148,2939,2932,2341,3243,2415,2217,1253,2326,2134,10871,3643,4501,5173,2113,1949,2807,3045,2657,2896,2523,2059,1944,3358,3176,5167,3724,1149,1164,1108,798,915,1553,1373,983,1594,1279,811,762,749,149,3043,813,1224,850,749,712,1207,1173,1183,1598,1545,1268,883,667,129
"G080","2014",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4520381,2269699,136531,143267,148160,82486,58249,163613,171162,170030,311339,306508,293856,180755,78329,25414,2250682,126186,137224,141939,77474,53393,148434,157376,161635,293208,308141,305729,193926,95818,50199,215446,117064,7739,9644,7098,4678,3958,12226,10415,10413,15557,15542,11633,4907,2403,851,98382,7109,7480,6875,3997,2781,8348,8506,7385,13422,13309,9826,5763,2743,838,157958,71631,5123,3903,4751,3320,1787,5275,7006,5793,13104,9510,6413,3712,1637,297,86327,4404,5865,5244,2783,2409,5216,7436,7805,15454,11211,9543,5295,2671,991,6679,3826,220,474,105,35,331,233,212,753,571,391,268,185,48,0,2853,226,211,605,120,222,144,53,574,221,208,201,68,0,0,"Colorado",14471,9062,2408,3996,4710,2170,2067,2861,2411,2383,2940,2367,1452,950,1920,1896,7938,1932,4537,4791,1923,1442,2594,2608,2225,3245,1932,1621,942,3085,3030,4979,2600,1081,1271,1124,749,732,1120,1059,1039,1230,968,622,516,546,322,3608,1120,1275,1167,897,853,1367,969,760,1053,799,774,419,539,408,4063,2607,806,954,1211,710,542,975,919,712,1031,991,546,586,490,197,2560,819,1093,1167,670,666,1051,733,779,1074,825,598,577,496,345,1548,891,204,316,129,62,235,188,179,502,363,294,248,186,62,192,1109,204,157,519,133,191,133,88,486,143,224,241,83,192,192
"G090","2014",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2763949,1346129,63961,72482,84095,53520,39049,90098,79701,75394,156796,214013,202655,125541,63095,25729,1417820,61411,67737,83434,49915,37807,84131,75844,76954,160769,226339,213368,140986,84389,54736,371857,178068,12117,13383,14131,9587,5682,17487,14246,11253,24293,23894,17817,8941,3839,1398,193789,11791,13225,12451,8867,6457,15235,14192,13887,25720,29224,20610,12845,5899,3386,151402,70968,4512,5436,3619,2379,1885,5809,6190,7143,12721,9915,6630,3197,1417,115,80434,4326,4911,4358,3120,3375,5647,6131,7670,16149,11198,7241,4163,1921,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",11640,6738,1280,3225,3614,1121,913,2279,2020,1802,1834,2317,1085,780,1949,1837,6532,1488,2841,3012,977,891,1380,1726,1577,2364,1755,1436,757,2825,2727,7049,4114,1135,1849,1678,700,841,1230,866,819,1387,957,914,525,696,563,4647,1162,1991,1684,792,730,806,1136,997,1218,935,770,587,759,809,3740,2262,647,1199,806,520,834,1067,588,645,783,775,498,394,429,136,2406,672,806,866,468,773,912,452,691,938,736,509,595,507,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2014",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",647533,315880,17487,16229,19189,10685,8017,21100,20212,19390,36194,45588,44715,34851,17120,5103,331653,15483,17378,16252,10358,8401,19237,21812,19359,37701,46176,49867,38907,21122,9600,203326,96402,7290,7628,7046,4589,3887,7991,7077,6528,12104,13351,10086,5932,2428,465,106924,6543,7191,6463,4624,3945,8013,6853,7461,13963,16134,13248,7542,3360,1584,36172,17255,1133,784,1511,288,601,1644,1443,1990,3837,1075,1675,821,348,105,18917,1179,1184,1408,639,199,1585,1746,1858,2757,2739,1494,1751,217,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",4080,2424,939,1524,1717,422,462,653,557,718,972,663,529,395,768,798,2517,826,1412,1525,411,463,660,616,550,808,540,408,179,1297,1338,3317,1872,792,1037,931,439,541,700,465,387,275,323,144,222,374,272,2005,717,1059,1153,290,717,545,593,633,375,295,319,225,578,578,888,826,169,502,620,273,318,625,326,471,593,456,314,238,223,171,658,182,573,727,369,178,327,227,371,232,446,184,469,183,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2014",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",265077,132670,6852,4460,3269,1392,3763,11405,20173,19769,23681,14610,11192,7599,3188,1317,132407,7124,3605,2692,1530,4037,14163,23366,19723,19727,11346,10820,8691,3685,1898,321346,145856,10860,9009,9135,5467,4446,12900,11305,9916,16824,19927,19184,9914,5016,1953,175490,10255,10148,7880,5632,5546,14039,13571,12906,20714,23009,23483,14265,9380,4662,24910,10181,912,119,97,0,680,959,1492,1764,1893,1031,683,430,85,36,14729,493,575,75,46,1094,1062,2480,2646,2894,1212,1096,534,267,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",3969,2349,612,696,754,203,921,1019,517,891,755,523,436,466,532,431,2152,740,735,653,271,934,968,551,712,660,489,399,283,743,725,2832,1402,523,799,904,233,268,219,326,276,482,279,533,226,472,442,1818,594,1249,1261,288,143,420,463,989,526,274,318,271,788,733,1142,871,544,143,154,198,318,319,280,234,305,64,278,208,103,64,703,342,322,96,77,484,528,292,242,138,215,198,234,218,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2014",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",15113860,7415057,362740,385071,400121,248127,172927,465499,470230,448434,895513,1056844,995989,849730,485533,178299,7698803,349118,361656,387162,238087,161143,435200,446365,429782,891153,1074179,1096759,958129,572704,297366,3221160,1548271,116210,122604,122939,77722,54954,141776,120596,106490,199027,197285,156528,83820,36567,11753,1672889,116523,113563,117551,70368,50991,143681,127999,119031,223698,218112,183992,107617,55035,24728,524583,240407,11201,15449,14003,8891,6960,19307,19521,17083,40634,33876,26131,18482,7157,1712,284176,12946,14792,14451,8637,8340,16317,20219,23714,48766,43896,34920,24001,10140,3037,15149,7002,91,496,766,122,263,1015,354,782,525,827,1000,761,0,0,8147,437,922,983,92,805,137,512,1222,1109,652,847,378,0,51,"Florida",28793,15117,4215,7465,6840,3436,3947,3542,4714,3752,6108,4339,3370,2628,6709,6466,17070,3863,10571,9496,2981,3260,4374,3666,4378,3929,4777,3588,3090,8606,9053,14886,9601,3417,5239,5625,3139,2686,3815,3437,3460,4130,3412,2252,2355,2064,1830,10045,3493,6266,5836,2488,2682,3719,2720,2917,3033,2811,2791,2016,2180,2049,7659,4569,1677,1899,1839,1471,1537,1582,1460,1404,1980,1673,1335,1314,1138,593,5575,1699,1761,1692,1374,1506,1711,1402,1688,1926,2329,1200,1446,1442,868,3314,1773,161,329,492,159,402,680,308,592,303,554,556,492,214,214,2168,357,554,498,153,625,157,345,710,678,382,610,342,214,92
