GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,ACKAE001,ACKAE002,ACKAE003,ACKAE004,ACKAE005,ACKAE006,ACKAE007,ACKAE008,ACKAE009,ACKAE010,ACKAE011,ACKAE012,ACKAE013,ACKAE014,ACKAE015,ACKAE016,ACKAE017,ACKAE018,ACKAE019,ACKAE020,ACKAE021,ACKAE022,ACKAE023,ACKAE024,ACKAE025,ACKAE026,ACKAE027,ACKAE028,ACKAE029,ACKAE030,ACKAE031,ACKCE001,ACKCE002,ACKCE003,ACKCE004,ACKCE005,ACKCE006,ACKCE007,ACKCE008,ACKCE009,ACKCE010,ACKCE011,ACKCE012,ACKCE013,ACKCE014,ACKCE015,ACKCE016,ACKCE017,ACKCE018,ACKCE019,ACKCE020,ACKCE021,ACKCE022,ACKCE023,ACKCE024,ACKCE025,ACKCE026,ACKCE027,ACKCE028,ACKCE029,ACKCE030,ACKCE031,ACKGE001,ACKGE002,ACKGE003,ACKGE004,ACKGE005,ACKGE006,ACKGE007,ACKGE008,ACKGE009,ACKGE010,ACKGE011,ACKGE012,ACKGE013,ACKGE014,ACKGE015,ACKGE016,ACKGE017,ACKGE018,ACKGE019,ACKGE020,ACKGE021,ACKGE022,ACKGE023,ACKGE024,ACKGE025,ACKGE026,ACKGE027,ACKGE028,ACKGE029,ACKGE030,ACKGE031,ACKIE001,ACKIE002,ACKIE003,ACKIE004,ACKIE005,ACKIE006,ACKIE007,ACKIE008,ACKIE009,ACKIE010,ACKIE011,ACKIE012,ACKIE013,ACKIE014,ACKIE015,ACKIE016,ACKIE017,ACKIE018,ACKIE019,ACKIE020,ACKIE021,ACKIE022,ACKIE023,ACKIE024,ACKIE025,ACKIE026,ACKIE027,ACKIE028,ACKIE029,ACKIE030,ACKIE031,NAME_M,ACKAM001,ACKAM002,ACKAM003,ACKAM004,ACKAM005,ACKAM006,ACKAM007,ACKAM008,ACKAM009,ACKAM010,ACKAM011,ACKAM012,ACKAM013,ACKAM014,ACKAM015,ACKAM016,ACKAM017,ACKAM018,ACKAM019,ACKAM020,ACKAM021,ACKAM022,ACKAM023,ACKAM024,ACKAM025,ACKAM026,ACKAM027,ACKAM028,ACKAM029,ACKAM030,ACKAM031,ACKCM001,ACKCM002,ACKCM003,ACKCM004,ACKCM005,ACKCM006,ACKCM007,ACKCM008,ACKCM009,ACKCM010,ACKCM011,ACKCM012,ACKCM013,ACKCM014,ACKCM015,ACKCM016,ACKCM017,ACKCM018,ACKCM019,ACKCM020,ACKCM021,ACKCM022,ACKCM023,ACKCM024,ACKCM025,ACKCM026,ACKCM027,ACKCM028,ACKCM029,ACKCM030,ACKCM031,ACKGM001,ACKGM002,ACKGM003,ACKGM004,ACKGM005,ACKGM006,ACKGM007,ACKGM008,ACKGM009,ACKGM010,ACKGM011,ACKGM012,ACKGM013,ACKGM014,ACKGM015,ACKGM016,ACKGM017,ACKGM018,ACKGM019,ACKGM020,ACKGM021,ACKGM022,ACKGM023,ACKGM024,ACKGM025,ACKGM026,ACKGM027,ACKGM028,ACKGM029,ACKGM030,ACKGM031,ACKIM001,ACKIM002,ACKIM003,ACKIM004,ACKIM005,ACKIM006,ACKIM007,ACKIM008,ACKIM009,ACKIM010,ACKIM011,ACKIM012,ACKIM013,ACKIM014,ACKIM015,ACKIM016,ACKIM017,ACKIM018,ACKIM019,ACKIM020,ACKIM021,ACKIM022,ACKIM023,ACKIM024,ACKIM025,ACKIM026,ACKIM027,ACKIM028,ACKIM029,ACKIM030,ACKIM031
"G010","2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3329913,1632627,92489,100351,99511,62385,42322,107617,101785,101889,203679,228787,224728,165653,78915,22516,1697286,85300,96393,93403,62356,42274,103030,104716,100196,204618,230062,236353,187422,107301,43862,1303298,605886,42328,48791,48880,29186,21468,52631,44194,38948,76426,74310,72169,38529,14579,3447,697412,42376,48214,46479,29324,22710,54153,50743,46342,96481,88275,86487,49313,25429,11086,59393,27880,1490,1923,2441,961,505,2237,2738,2315,4767,3992,2042,1754,507,208,31513,1871,2646,1522,685,772,2274,2734,2795,5177,3882,4403,1462,991,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",5703,4586,2307,4494,4291,1560,2536,2577,1622,1873,2279,1457,1141,770,1966,1971,4446,1789,3990,3629,1883,2457,2758,1421,1463,1749,1435,792,655,2296,2204,5731,4025,1996,3158,3921,1350,1782,2444,2290,2323,2992,2441,1330,1504,954,792,4521,2225,3480,3209,1713,2286,2812,2244,1692,2796,1990,985,1065,1247,1141,2341,1768,535,561,922,630,396,1036,843,752,1157,1084,506,594,249,186,1975,579,847,503,397,377,810,747,1012,957,865,784,440,385,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2015",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",481314,256855,14770,13312,15256,8716,5969,21993,23046,20750,32463,34575,37636,20373,6003,1993,224459,14694,14543,10941,8134,4971,15273,17855,16831,29378,30668,33777,18129,6599,2666,26176,15699,915,419,1153,689,624,2765,1385,939,2712,2108,1489,501,0,0,10477,1298,485,1045,567,146,768,676,814,1472,1161,1591,208,246,0,47295,22741,1600,2233,1438,1225,733,1992,2004,1819,3173,2374,2737,914,467,32,24554,1085,1290,1538,1410,586,1375,2632,1933,3792,3643,3248,909,990,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",3176,1967,496,1416,1342,430,775,1021,723,1041,686,532,452,322,727,701,2034,525,1165,1138,695,605,752,717,545,818,486,489,436,586,538,1808,1075,405,331,392,339,584,897,691,98,714,711,387,267,149,149,1161,783,286,481,232,142,248,261,444,550,483,454,248,218,149,2541,1382,423,685,617,425,422,493,407,839,734,558,290,295,231,48,1522,361,526,596,351,117,482,288,461,606,502,394,363,359,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G040","2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5285994,2621616,152556,164478,168397,99759,68654,178522,177131,169569,321790,330638,324143,275732,143619,46628,2664378,144929,159505,158788,95427,67402,164426,166133,160590,313901,333105,358589,305449,163527,72607,300685,154318,10125,11988,10745,7261,5321,14617,14499,13339,21473,19531,14187,7302,2708,1222,146367,10731,11081,11439,7443,5445,11860,11914,11630,18688,18240,14485,8849,3500,1062,217556,100680,5258,6067,6167,3083,2748,8848,9659,9449,18166,13057,9276,5482,2457,963,116876,6438,6379,6243,4193,2891,7866,8868,9097,20285,16647,13624,8882,4111,1352,11284,5970,587,524,42,171,186,615,701,693,695,778,717,166,65,30,5314,317,480,177,85,112,362,939,712,476,602,480,284,123,165,"Arizona",24068,12388,2449,4582,5264,2026,2340,2908,3103,2588,3433,2703,2592,1707,2945,2750,13728,2739,5311,4802,2372,2213,2839,2520,2727,3340,3162,2048,1729,3573,3299,6487,3510,1573,1629,1368,820,728,1092,1049,1323,1099,1027,729,439,530,453,4219,1468,1549,1534,825,886,1333,1098,1038,1331,1083,676,776,605,431,5352,3165,772,1073,1012,708,610,896,887,945,967,635,688,812,367,434,3227,732,1174,1027,584,621,1052,963,766,1075,1102,641,736,644,497,1274,922,374,424,71,120,185,321,291,379,307,358,395,121,112,46,827,201,311,130,89,132,283,258,399,312,335,335,175,130,176
"G050","2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2308047,1138948,67341,73418,72669,46898,31610,71780,73077,72909,141069,153331,147606,113580,54178,19482,1169099,65931,67285,67775,39435,28052,72877,74320,71436,140200,152395,157934,127722,70050,33687,469555,223735,17608,20327,17745,10841,9548,18944,15304,14473,28839,26254,25139,13000,3950,1763,245820,15657,17061,19141,11381,7796,20626,19580,15809,32824,29590,29956,15123,7585,3691,42404,21428,1146,1452,1220,1016,598,2977,957,2420,3142,2695,1952,1493,360,0,20976,864,685,2031,833,512,1432,1762,1912,3270,3932,2191,1037,370,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",6642,3901,1371,2759,2969,1558,2295,2299,1893,1665,2007,1577,679,594,1643,1572,4189,1848,3091,3417,1338,2109,2655,1692,1368,1664,1467,895,738,2360,2323,5093,3887,1699,2355,1820,1451,1519,1744,1424,1671,1954,1756,1207,924,650,531,4115,1680,1956,2038,1321,1468,1926,2085,1315,1975,1540,997,786,861,787,2472,1540,500,605,533,504,371,784,374,887,849,758,696,495,254,190,1811,446,403,796,483,305,546,626,752,813,848,668,405,317,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2015",,,"California","06",,,,,,,,,,,,,,,,,,"California",23824254,11895279,710891,737506,742730,455602,309224,856810,897963,843841,1533527,1628493,1517385,996141,477746,187420,11928975,694157,703469,700420,434262,292268,795192,826706,802652,1466043,1602686,1565767,1107061,604190,334102,2277229,1127416,66738,63559,72435,47866,33594,101914,99224,84547,142438,162630,137046,71369,34794,9262,1149813,64338,66985,69933,45672,30527,92802,94003,72384,144383,165249,147530,89105,47637,19265,5548936,2625314,139266,148730,148395,90337,66652,185512,220384,212960,393350,369334,314194,201327,100549,34324,2923622,132921,135780,143367,84619,63642,176483,226568,231779,461191,429103,385876,253514,138704,60075,157554,75654,5519,3557,4788,2583,4322,7656,5681,7876,10041,9485,8062,3752,2007,325,81900,7591,5802,3921,3458,2866,6306,7731,7391,10756,10570,8503,4798,1683,524,"California",64923,35545,7687,13072,11658,5186,4507,7183,8015,7596,9269,8535,5684,3954,5568,5295,33751,8528,12546,11010,4866,4488,6688,6992,6427,8532,8603,6237,4698,7210,6673,14769,9174,2904,3863,3971,1610,1624,3038,2299,2297,2518,2432,1838,1210,1788,1718,9204,2986,4251,4023,1835,1794,2954,2698,2322,2457,2631,1914,2048,1932,1895,20371,12117,3353,5218,4950,1983,1849,2796,3181,2548,3476,2354,2317,1709,2680,2469,11550,3245,5268,5189,2132,1936,3003,3485,2564,3236,3051,2432,2043,3128,3112,6508,3510,1260,919,1105,1166,1284,1680,1066,1327,1349,1629,990,761,602,352,4277,1286,1076,1246,1022,1051,1270,1139,1423,1570,1430,1099,908,634,298
"G080","2015",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4607390,2312734,133947,146648,146627,85942,62335,165033,179095,176224,313779,306990,298482,191418,76235,29979,2294656,128906,136447,141358,80807,56514,146825,165190,165394,298347,307495,312570,206937,100853,47013,224809,119339,7402,8693,7576,4826,3413,10813,10837,10473,17256,16642,12741,5590,2667,410,105470,7740,8720,7833,4503,3803,7732,8862,7754,13448,13195,11810,6275,2365,1430,162880,74545,4680,5184,5282,2225,2397,5885,6755,7165,13472,8588,6886,3960,1614,452,88335,5292,5313,5075,3340,2516,5878,7196,8115,15706,11459,9732,5549,2123,1041,9136,4200,573,337,328,64,234,358,254,50,823,404,480,107,188,0,4936,15,548,27,287,411,820,804,269,685,336,270,396,68,0,"Colorado",13594,7223,2457,4758,4261,2056,1995,2781,2589,2153,2360,2345,1481,1208,2249,2007,8554,2188,4184,4343,1686,1695,2560,2115,1912,2874,1967,1290,1591,2401,2369,6222,4125,1058,1640,1645,863,1249,1572,1219,1058,1165,1526,956,604,431,249,3550,1332,1345,1341,787,851,1398,876,829,976,862,798,553,641,638,5083,3042,794,1062,1188,517,487,921,982,724,907,913,733,803,582,352,3209,769,1121,1224,620,693,1296,813,872,1012,899,567,609,647,438,1514,1232,474,258,235,93,240,216,283,90,565,249,359,95,194,193,872,33,388,62,209,196,511,407,198,386,358,158,365,98,193
"G090","2015",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2747943,1335947,62389,71854,79120,53540,39140,88925,78223,76279,152282,211018,205758,128407,61566,27446,1411996,62043,70010,75595,50377,37797,84616,75411,76308,159188,218481,217818,145484,84159,54709,380571,181753,13305,12408,14365,9273,6969,17231,14110,11809,24343,24520,18520,9549,3873,1478,198818,10646,13459,12971,8152,5838,15697,15671,14033,26112,30554,22178,14081,6056,3370,156249,75630,4322,4824,5263,2940,1810,6139,6894,7799,12634,10376,7029,4010,1347,243,80619,4259,3865,5571,2841,3381,4951,7023,7270,15510,11600,7786,4346,1671,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",12766,7503,1587,3710,3661,1033,834,1753,1801,1877,2071,1895,1219,803,1773,1697,6685,1560,3239,3467,1059,1252,1759,1536,1529,1818,1859,1028,830,2756,2687,6628,4163,1186,1576,1659,752,750,1167,1052,889,1312,1110,769,408,749,481,3904,1141,1591,1599,760,843,1116,1260,921,1170,1171,723,574,858,712,2710,1967,438,856,789,556,692,915,588,669,842,678,675,652,577,237,2075,450,953,920,392,902,850,718,550,659,626,467,775,662,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2015",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",654904,319020,17568,15520,19662,10777,8039,19879,22294,19281,36054,44154,46190,36643,16668,6291,335884,15993,15694,18597,10597,7929,18657,22393,19578,36860,46097,50845,41316,20531,10797,203863,95869,6233,6380,8018,5341,3110,8829,6820,6023,12049,13529,10340,6244,2145,808,107994,6080,7350,7161,4236,3260,8967,7381,7330,13904,15742,13424,7925,4081,1153,36114,16970,965,1103,916,495,633,1169,1354,1673,2843,2497,1580,973,576,193,19144,1326,1161,1242,603,639,1181,1804,1888,2860,2540,1731,1321,727,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",4740,2761,539,1710,1744,502,478,905,617,737,764,703,377,437,977,951,2557,482,1874,1731,439,675,571,676,483,831,678,448,302,1088,1026,3106,1743,914,1129,1150,487,922,1072,570,593,596,381,256,396,349,462,2238,762,1107,1307,456,701,917,514,670,785,449,211,137,403,400,1597,1069,215,369,362,309,589,606,766,275,224,315,183,413,278,204,1000,134,435,498,256,299,414,135,268,301,205,330,437,337,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2015",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",269143,133725,7179,4099,3214,1241,4306,11398,19471,19717,24024,15586,11404,7536,2965,1585,135418,7056,3334,3782,1306,6126,13624,21686,20569,20560,12183,10049,9086,4051,2006,318831,144884,10587,9794,8122,5273,4617,12239,11837,10061,16822,19792,18714,10236,4487,2303,173947,11067,10253,7859,5285,4949,13873,14177,11983,20596,21984,23747,14506,8424,5244,25944,10694,687,235,252,244,357,947,1530,1926,2188,1093,613,330,292,0,15250,120,250,350,251,860,1596,3053,2341,2936,1337,1077,843,142,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",3524,2033,593,780,662,204,1045,1144,545,658,797,550,528,134,477,457,1941,555,798,813,244,1389,1402,644,722,649,620,394,477,501,521,2822,1595,361,1221,1162,328,467,390,444,412,537,554,439,158,454,462,1808,469,969,972,206,335,439,656,495,562,446,726,185,709,690,1021,844,393,174,214,242,244,469,430,320,308,115,133,207,208,200,700,199,164,215,199,414,424,340,457,271,218,49,283,206,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2015",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",15357374,7524791,371208,391861,403249,249260,175216,449913,481868,457146,897362,1058923,1019154,884979,502525,182127,7832583,351209,379114,379784,243872,165224,425249,461708,443449,891671,1073444,1125826,1002937,586017,303079,3280778,1571064,121584,118781,121315,78323,49781,140561,126663,108820,203924,197469,163906,89629,39158,11150,1709714,118087,116438,120950,74261,49660,134527,136690,124673,225788,217803,191004,115791,60628,23414,544068,247716,13060,17425,13237,8620,7331,19069,22480,18036,39378,34276,27294,17712,7607,2191,296352,13958,15714,15443,9623,7108,19461,20292,22013,52405,42306,38423,24871,11118,3617,11898,5070,1278,38,380,232,200,322,199,251,882,866,233,153,0,36,6828,269,284,589,383,223,433,148,747,1445,554,522,509,722,0,"Florida",27705,16106,4878,9320,8717,2958,3738,4715,4552,4753,6318,4044,3589,2744,5602,5239,15553,3774,10078,10069,3300,3513,4367,3302,4191,5120,4065,2813,3275,7073,7261,15532,10364,3432,5201,5947,3071,2778,4125,3350,3122,4073,3782,2413,1667,1916,1822,9062,2967,5149,5250,2607,2931,2840,3242,3225,3536,3455,2593,2087,2742,2419,8941,5840,1404,1905,2035,1229,1392,2167,2119,1605,2780,1919,1547,1414,1058,711,5772,1678,2012,2062,1445,1112,1904,1632,1647,2078,1962,1904,1523,1559,872,2694,1539,1288,62,227,157,183,348,227,345,465,607,213,157,217,59,2017,329,150,532,208,293,422,201,743,680,337,520,295,735,217
