GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AE1JE001,AE1JE002,AE1JE003,AE1JE004,AE1JE005,AE1JE006,AE1JE007,AE1JE008,AE1JE009,AE1JE010,AE1JE011,AE1JE012,AE1JE013,AE1JE014,AE1JE015,AE1JE016,AE1JE017,AE1JE018,AE1JE019,AE1JE020,AE1JE021,AE1JE022,AE1JE023,AE1JE024,AE1JE025,AE1JE026,AE1JE027,AE1JE028,AE1JE029,AE1JE030,AE1JE031,AE1LE001,AE1LE002,AE1LE003,AE1LE004,AE1LE005,AE1LE006,AE1LE007,AE1LE008,AE1LE009,AE1LE010,AE1LE011,AE1LE012,AE1LE013,AE1LE014,AE1LE015,AE1LE016,AE1LE017,AE1LE018,AE1LE019,AE1LE020,AE1LE021,AE1LE022,AE1LE023,AE1LE024,AE1LE025,AE1LE026,AE1LE027,AE1LE028,AE1LE029,AE1LE030,AE1LE031,AE1PE001,AE1PE002,AE1PE003,AE1PE004,AE1PE005,AE1PE006,AE1PE007,AE1PE008,AE1PE009,AE1PE010,AE1PE011,AE1PE012,AE1PE013,AE1PE014,AE1PE015,AE1PE016,AE1PE017,AE1PE018,AE1PE019,AE1PE020,AE1PE021,AE1PE022,AE1PE023,AE1PE024,AE1PE025,AE1PE026,AE1PE027,AE1PE028,AE1PE029,AE1PE030,AE1PE031,AE1RE001,AE1RE002,AE1RE003,AE1RE004,AE1RE005,AE1RE006,AE1RE007,AE1RE008,AE1RE009,AE1RE010,AE1RE011,AE1RE012,AE1RE013,AE1RE014,AE1RE015,AE1RE016,AE1RE017,AE1RE018,AE1RE019,AE1RE020,AE1RE021,AE1RE022,AE1RE023,AE1RE024,AE1RE025,AE1RE026,AE1RE027,AE1RE028,AE1RE029,AE1RE030,AE1RE031,NAME_M,AE1JM001,AE1JM002,AE1JM003,AE1JM004,AE1JM005,AE1JM006,AE1JM007,AE1JM008,AE1JM009,AE1JM010,AE1JM011,AE1JM012,AE1JM013,AE1JM014,AE1JM015,AE1JM016,AE1JM017,AE1JM018,AE1JM019,AE1JM020,AE1JM021,AE1JM022,AE1JM023,AE1JM024,AE1JM025,AE1JM026,AE1JM027,AE1JM028,AE1JM029,AE1JM030,AE1JM031,AE1LM001,AE1LM002,AE1LM003,AE1LM004,AE1LM005,AE1LM006,AE1LM007,AE1LM008,AE1LM009,AE1LM010,AE1LM011,AE1LM012,AE1LM013,AE1LM014,AE1LM015,AE1LM016,AE1LM017,AE1LM018,AE1LM019,AE1LM020,AE1LM021,AE1LM022,AE1LM023,AE1LM024,AE1LM025,AE1LM026,AE1LM027,AE1LM028,AE1LM029,AE1LM030,AE1LM031,AE1PM001,AE1PM002,AE1PM003,AE1PM004,AE1PM005,AE1PM006,AE1PM007,AE1PM008,AE1PM009,AE1PM010,AE1PM011,AE1PM012,AE1PM013,AE1PM014,AE1PM015,AE1PM016,AE1PM017,AE1PM018,AE1PM019,AE1PM020,AE1PM021,AE1PM022,AE1PM023,AE1PM024,AE1PM025,AE1PM026,AE1PM027,AE1PM028,AE1PM029,AE1PM030,AE1PM031,AE1RM001,AE1RM002,AE1RM003,AE1RM004,AE1RM005,AE1RM006,AE1RM007,AE1RM008,AE1RM009,AE1RM010,AE1RM011,AE1RM012,AE1RM013,AE1RM014,AE1RM015,AE1RM016,AE1RM017,AE1RM018,AE1RM019,AE1RM020,AE1RM021,AE1RM022,AE1RM023,AE1RM024,AE1RM025,AE1RM026,AE1RM027,AE1RM028,AE1RM029,AE1RM030,AE1RM031
"G010","2016",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",3316384,1624451,89421,97334,99381,64364,44174,102503,104022,98368,200640,225402,225284,170282,78387,24889,1691933,87472,92182,93195,59643,40762,101972,105215,98807,199161,228575,238654,192209,108545,45541,1301102,609961,41122,51242,44608,32359,20380,51163,48285,41371,74294,73569,72963,39354,15624,3627,691141,43022,43819,42251,28536,23193,53425,50660,45889,91560,89943,89738,52507,25257,11341,65611,29550,2011,2463,2355,935,860,2525,2345,2921,4903,4538,1547,1511,510,126,36061,3012,3494,2084,872,1099,1633,2778,2721,6522,4257,4001,2672,787,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",6545,4343,1767,3972,3975,1399,1908,2418,1774,2291,1965,1897,981,933,2390,2310,5150,2075,3641,3583,1574,2111,2145,1689,1553,1757,1358,827,714,2622,2611,7468,6005,2240,3213,3302,2356,1754,2662,2417,2709,2357,2323,1495,1479,1340,794,5417,2874,3005,2911,1586,1960,2557,2178,2370,2840,2746,1143,1207,1841,1235,3698,2105,701,734,840,449,467,904,863,814,1343,969,482,560,292,159,2900,1054,1139,748,475,522,803,912,789,1079,701,661,653,360,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","2016",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",477895,255347,14779,12500,16837,8843,4773,20666,21287,21140,32154,34514,37935,21587,6683,1649,222548,13756,15714,10715,7294,4225,14257,17984,17548,28497,30184,34246,18526,6013,3589,23753,13550,349,915,1024,425,1040,1356,1265,1165,2126,1882,1381,382,176,64,10203,602,850,411,741,194,920,1327,826,1348,937,853,752,175,267,45580,21916,1702,1613,1834,632,313,1864,2329,1283,1969,4106,2124,1746,360,41,23664,504,1143,1223,1457,787,1438,2030,2293,3470,3821,3240,1142,765,351,9937,5466,401,363,897,481,34,675,608,410,475,547,469,64,42,0,4471,516,104,543,276,23,243,674,611,677,313,256,191,44,0,"Alaska",3267,2292,529,1251,1441,701,723,1178,741,895,507,601,955,227,527,466,1895,571,1127,1148,637,550,685,950,679,930,391,586,345,652,622,1978,1157,323,455,476,317,490,614,502,782,880,926,370,294,222,96,1553,435,597,376,302,238,501,577,463,613,537,446,375,223,252,3124,1981,694,645,801,304,263,622,729,355,760,737,319,371,247,59,1685,346,570,461,706,417,545,228,522,601,620,510,263,300,192,849,635,147,267,348,294,50,476,323,300,326,246,221,111,71,155,622,175,220,241,202,41,185,223,443,466,191,168,140,71,155
"G040","2016",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",5254944,2601945,146669,162516,159213,98473,68861,169306,175453,165443,312364,328958,327623,287112,153116,46838,2652999,144710,152014,156959,93056,65194,156536,163907,160043,305723,326470,365255,318797,172119,72216,299674,154722,11719,11571,10555,6753,5952,14090,14662,11331,22080,19172,14370,8689,2976,802,144952,10468,10067,11635,6659,5503,11751,12299,11397,18032,18520,14634,8991,3863,1133,220438,103495,6479,5725,6695,3921,2788,9106,9002,9020,17348,14227,9617,6174,2574,819,116943,5109,6191,6483,3173,2638,8420,8991,9496,20534,17707,13580,9221,4195,1205,14140,7369,727,317,427,233,217,503,855,860,1360,1017,250,463,103,37,6771,376,501,479,440,351,650,436,537,1038,361,960,642,0,0,"Arizona",21891,10970,3250,4925,4491,2156,2382,3484,3105,2411,3441,3094,2446,1372,3164,3224,13797,3167,5858,6273,2399,2370,3284,2780,2249,3132,3117,2096,1660,3570,3491,6611,3989,1067,1594,1807,935,798,1135,1283,1161,1352,1099,932,523,596,455,3676,1351,1484,1491,774,1067,968,979,816,972,914,800,594,630,434,4835,2844,802,1067,994,730,788,806,892,1004,1239,1119,564,456,525,405,3111,715,984,1127,512,814,740,595,728,888,820,650,730,602,423,1489,1027,226,215,307,227,161,309,355,534,474,445,184,281,122,63,923,266,262,266,435,262,347,350,148,259,205,441,429,204,204
"G050","2016",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2290066,1129742,67591,70623,73320,43786,32107,74063,71651,70301,138902,147733,149287,115491,58628,16259,1160324,61536,66189,67429,42623,31032,67872,72431,68530,138395,150790,158489,130187,70502,34319,464516,222924,16385,18910,18067,10799,10784,19989,14747,15140,25128,27527,25810,13861,4568,1209,241592,16121,19378,16326,9565,9587,16820,18343,17557,30767,29759,29481,16804,8049,3035,41781,18911,981,1285,943,581,1233,1513,2139,1648,3058,2060,2135,757,559,19,22870,1327,702,2168,660,919,961,2075,2098,3845,4079,1923,1456,537,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",5262,3675,1350,3454,3621,1376,1743,2095,1665,1436,1844,1208,972,732,1762,1623,3976,1664,3302,2920,1968,2091,2379,1540,1351,1518,1462,989,896,2677,2657,4871,3214,1405,2051,2107,1137,1651,1700,1834,1644,1894,2097,1383,934,899,452,3708,1747,2312,1919,1569,1191,1513,1915,1588,1815,1525,857,964,810,613,2680,1639,485,607,508,278,601,714,643,627,926,675,678,447,383,35,2187,723,435,887,458,496,593,751,632,964,882,610,503,364,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","2016",,,"California","06",,,,,,,,,,,,,,,,,,"California",23420234,11699791,688875,700578,734614,438907,296339,809808,890595,836295,1505222,1591240,1510607,1020765,485094,190852,11720443,659495,679479,694257,419621,278692,744554,831062,781575,1436161,1559576,1560288,1131585,600407,343691,2265280,1124296,68947,70682,67040,46010,33078,96667,100741,80858,144403,158058,139603,74971,33591,9647,1140984,65593,66754,66915,44764,31036,84301,92534,78497,141241,160235,149572,90866,47508,21168,5602074,2651898,141801,152189,145621,90374,66433,182917,227302,212600,395730,369684,316685,208013,105603,36946,2950176,135297,135486,142278,87977,64670,170111,231410,234776,462414,431131,388102,260861,138984,66679,150521,74397,4888,4866,5494,2632,2593,6591,5497,5607,8756,12294,8677,4063,1514,925,76124,4411,4214,4671,2299,2424,6203,5296,7423,10906,10986,10175,4324,1983,809,"California",62421,34015,8452,13000,12512,6030,4470,8903,7773,6441,8783,7777,6134,3718,4983,4700,35440,7475,13807,11372,5431,5012,8581,6342,6124,9067,7306,6661,5086,7929,8289,14911,9069,2802,4246,4273,2038,1823,3124,3397,2401,2834,2759,1919,1334,1572,1295,9577,2718,4211,3827,1934,1649,2841,2691,1826,2934,2329,1809,1526,2118,2111,18509,10308,4057,6622,4736,1951,2192,2771,3188,2662,3509,2419,2104,1807,3370,2951,11169,2980,5096,5054,1902,2075,3020,2345,2765,3420,2691,2291,2347,3508,3285,6036,3595,936,1197,1401,788,811,1289,1260,905,1262,1473,1243,943,678,468,3900,1079,1155,1393,875,712,1340,912,1415,1434,1574,1181,849,687,411
"G080","2016",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",4654921,2338405,134733,145502,145895,87463,59264,163920,180813,180061,316423,309232,304446,199883,84987,25783,2316516,128160,138919,135840,79767,54996,151493,167650,164659,303627,304865,318497,216569,102184,49290,234142,125490,7751,10473,7532,6757,3521,11161,11693,9278,18579,16160,12787,6505,2605,688,108652,8200,8738,8133,3468,3614,9289,9201,8404,14079,13358,10595,7491,2449,1633,175951,78035,5007,5591,4690,2249,2637,5830,7736,7470,12929,10483,6557,4935,1376,545,97916,5927,6114,6021,3496,3896,5530,8190,8797,15829,13574,10654,6586,2189,1113,8325,4431,481,279,291,154,111,418,760,616,254,433,355,177,102,0,3894,261,158,282,217,227,427,729,306,503,476,265,43,0,0,"Colorado",13381,8112,2753,4752,4582,1991,1989,3213,2514,1972,2956,2667,1782,1261,2399,2263,8785,2570,4782,4855,1921,1966,2448,2207,2103,2846,2479,1387,1363,2497,2553,5678,3822,1039,1597,1508,831,877,1225,1282,1094,1222,1226,1135,571,466,382,3237,878,1600,1386,786,1058,1397,800,971,878,727,678,758,529,473,4618,2569,831,891,1107,581,696,1166,796,719,936,898,596,593,564,274,2932,829,959,1022,600,962,1045,658,670,984,865,852,845,646,563,1566,1113,458,213,179,179,131,378,489,318,224,250,246,176,124,195,875,147,111,251,264,175,274,394,247,314,302,231,74,195,195
"G090","2016",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",2741892,1333837,61329,69399,83323,52533,38781,90088,77727,77122,149215,204503,207047,133164,63264,26342,1408055,60742,64714,78291,51208,37368,87434,74936,76532,155563,212585,219654,150032,82309,56687,378932,183239,11148,14011,12644,9597,7106,18673,13785,13221,23487,23795,20318,10066,4177,1211,195693,10972,12441,12321,7482,6336,15067,14851,14152,25612,28979,23554,13679,7591,2656,161950,76023,4816,5273,5247,2542,3273,5857,6328,7393,12845,9645,6991,4390,1130,293,85927,5028,5259,5624,3223,3106,6282,6483,8253,14981,11983,8484,4568,2218,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",12294,7365,1591,3409,3175,1180,994,2043,1713,1569,2519,1981,1630,749,1971,1877,7034,1536,3407,3502,1346,811,1488,1298,1443,2079,1785,1397,728,2506,2389,7603,4442,1582,1640,1623,569,638,1584,926,873,1187,1238,795,522,494,511,4451,1138,1458,1350,911,681,1178,931,1299,1100,1508,1036,459,879,768,3536,2204,763,1067,1169,479,840,986,792,548,709,683,565,442,380,186,2172,612,1002,962,508,974,1210,391,634,833,780,632,607,527,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","2016",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",659091,321219,16229,16850,19300,11574,8445,18117,21666,20307,36507,43576,47485,37867,17161,6135,337872,15543,16355,17379,10725,8012,18441,21963,19862,37207,45495,52126,42664,22198,9902,209911,98970,7520,6676,8060,4772,3647,8207,7476,5802,12257,13397,11135,6643,2944,434,110941,6982,8776,7199,4723,2824,8505,8469,6746,13266,15558,13908,8485,4276,1224,35646,17644,938,778,1164,654,258,1520,1985,1835,3200,2142,1617,895,448,210,18002,793,1290,1036,289,587,830,1735,2315,2417,2408,1781,1878,643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",5072,3034,904,2017,2027,396,690,719,788,626,839,659,610,482,985,940,2700,719,1280,1450,447,737,809,679,563,838,651,426,477,1286,1272,4102,1856,983,1396,1345,357,657,813,808,648,524,275,288,346,312,297,3000,1232,1603,1360,519,881,1000,813,606,552,545,357,312,534,521,1583,1124,250,385,540,571,164,297,133,138,688,697,166,101,185,188,1155,187,622,566,265,319,373,147,556,310,294,265,412,311,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","2016",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",277268,138829,7579,4294,3125,1473,4019,11489,19243,21803,24589,16625,11231,8665,3913,781,138439,7077,4077,3459,1363,5798,13977,22438,20619,21414,12945,10527,8607,4213,1925,320554,145344,9981,10520,7969,5466,4428,11764,12874,10195,17376,18352,19193,10474,4815,1937,175210,10126,9040,9151,5166,5343,14189,14226,12411,20697,22476,23434,15169,8891,4891,26436,10685,420,337,49,176,236,1337,1479,1737,2548,1119,534,559,154,0,15751,510,226,103,221,958,1898,2365,2671,3143,1352,1118,674,305,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",3530,2431,747,616,612,251,1060,1105,746,642,861,665,432,352,413,406,1970,565,840,661,252,1111,1066,614,586,583,470,488,496,860,800,2554,1454,431,1270,1254,203,205,253,375,146,421,506,569,120,535,504,1631,598,1300,1266,134,280,322,270,607,368,381,623,211,927,948,1256,905,288,239,75,202,243,330,275,244,384,193,287,283,155,203,709,292,197,130,224,362,384,288,210,283,287,203,319,237,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","2016",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",15574165,7636928,381113,383375,404700,255751,172312,449657,490942,468001,901958,1056265,1048121,918295,517491,188947,7937237,360522,362039,391792,244620,163430,419925,473038,453398,892495,1070313,1151937,1041070,607770,304888,3310428,1587049,115837,123345,116786,78580,49949,137084,131900,118338,197882,199161,168466,96923,40910,11888,1723379,109893,116790,120679,72824,55264,130896,135474,125523,230489,220489,197849,121729,59026,26454,559393,249509,13352,14485,14494,10265,7570,16766,18972,20999,39428,35167,28290,20287,8021,1413,309884,14336,15908,15807,9351,7137,17507,23575,25216,51065,46025,40574,28409,11122,3852,12540,5637,66,428,242,117,77,780,477,827,802,619,641,430,131,0,6903,378,869,304,238,18,605,846,384,593,1033,579,847,209,0,"Florida",29122,17881,5023,9516,9906,3297,3863,5175,5287,4541,5511,4081,3560,2876,6916,6809,15695,3983,8292,7540,3025,4595,5315,3528,3536,5155,4821,3752,3137,7105,6691,22138,12683,3974,4924,4257,2400,2743,4282,3404,4064,4838,3586,2436,2520,1868,1653,13455,3887,5927,6943,2913,2776,3727,2876,3042,4254,3786,2919,2381,2862,2557,7440,4858,1646,2079,1910,1518,1378,1478,1943,1310,1986,2250,1580,1524,903,537,5112,1776,2122,2217,1504,1223,1546,1967,1775,2725,1891,1831,1776,1317,922,2425,1492,104,310,163,118,91,639,353,462,560,464,424,263,159,221,1551,361,425,178,391,21,287,645,257,367,674,251,627,221,221
