Leading Cancer Sites,States,Year,Age Groups,Race,Gender,Count
Brain and Other Nervous System,Alabama,2012.0,55-64 years,White,female,20.0
Brain and Other Nervous System,Alabama,2012.0,65-74 years,White,female,22.0
Brain and Other Nervous System,Alabama,2012.0,75-84 years,White,female,17.0
Brain and Other Nervous System,Alabama,2016.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Alabama,2016.0,65-74 years,White,female,35.0
Brain and Other Nervous System,Arizona,2012.0,55-64 years,White,female,20.0
Brain and Other Nervous System,Arizona,2012.0,65-74 years,White,female,27.0
Brain and Other Nervous System,Arizona,2012.0,75-84 years,White,female,22.0
Brain and Other Nervous System,Arizona,2013.0,55-64 years,White,female,45.0
Brain and Other Nervous System,Arizona,2013.0,65-74 years,White,female,37.0
Brain and Other Nervous System,Arizona,2013.0,75-84 years,White,female,20.0
Brain and Other Nervous System,Arizona,2013.0,85+ years,White,female,16.0
Brain and Other Nervous System,Arizona,2014.0,55-64 years,White,female,24.0
Brain and Other Nervous System,Arizona,2014.0,65-74 years,White,female,42.0
Brain and Other Nervous System,Arizona,2014.0,75-84 years,White,female,19.0
Brain and Other Nervous System,Arizona,2014.0,85+ years,White,female,23.0
Brain and Other Nervous System,Arizona,2015.0,55-64 years,White,female,39.0
Brain and Other Nervous System,Arizona,2015.0,65-74 years,White,female,42.0
Brain and Other Nervous System,Arizona,2016.0,55-64 years,White,female,33.0
Brain and Other Nervous System,Arizona,2016.0,65-74 years,White,female,46.0
Brain and Other Nervous System,Arizona,2016.0,75-84 years,White,female,16.0
Brain and Other Nervous System,California,2012.0,15-19 years,White,female,23.0
Brain and Other Nervous System,California,2012.0,20-24 years,White,female,17.0
Brain and Other Nervous System,California,2012.0,25-29 years,White,female,32.0
Brain and Other Nervous System,California,2012.0,30-34 years,White,female,28.0
Brain and Other Nervous System,California,2012.0,35-44 years,White,female,65.0
Brain and Other Nervous System,California,2012.0,45-54 years,White,female,94.0
Brain and Other Nervous System,California,2012.0,5-9 years,White,female,24.0
Brain and Other Nervous System,California,2012.0,55-64 years,White,female,191.0
Brain and Other Nervous System,California,2012.0,65-74 years,White,female,162.0
Brain and Other Nervous System,California,2012.0,75-84 years,White,female,102.0
Brain and Other Nervous System,California,2012.0,85+ years,White,female,51.0
Brain and Other Nervous System,California,2012.0,< 5 years,White,female,24.0
Brain and Other Nervous System,California,2013.0,10-14 years,White,female,25.0
Brain and Other Nervous System,California,2013.0,15-19 years,White,female,19.0
Brain and Other Nervous System,California,2013.0,20-24 years,White,female,21.0
Brain and Other Nervous System,California,2013.0,25-29 years,White,female,20.0
Brain and Other Nervous System,California,2013.0,30-34 years,White,female,36.0
Brain and Other Nervous System,California,2013.0,35-44 years,White,female,63.0
Brain and Other Nervous System,California,2013.0,45-54 years,White,female,121.0
Brain and Other Nervous System,California,2013.0,5-9 years,White,female,38.0
Brain and Other Nervous System,California,2013.0,55-64 years,White,female,176.0
Brain and Other Nervous System,California,2013.0,65-74 years,White,female,177.0
Brain and Other Nervous System,California,2013.0,75-84 years,White,female,121.0
Brain and Other Nervous System,California,2013.0,85+ years,White,female,77.0
Brain and Other Nervous System,California,2013.0,< 5 years,White,female,26.0
Brain and Other Nervous System,California,2014.0,10-14 years,White,female,18.0
Brain and Other Nervous System,California,2014.0,15-19 years,White,female,20.0
Brain and Other Nervous System,California,2014.0,20-24 years,White,female,21.0
Brain and Other Nervous System,California,2014.0,25-29 years,White,female,28.0
Brain and Other Nervous System,California,2014.0,30-34 years,White,female,19.0
Brain and Other Nervous System,California,2014.0,35-44 years,White,female,78.0
Brain and Other Nervous System,California,2014.0,45-54 years,White,female,106.0
Brain and Other Nervous System,California,2014.0,5-9 years,White,female,29.0
Brain and Other Nervous System,California,2014.0,55-64 years,White,female,191.0
Brain and Other Nervous System,California,2014.0,65-74 years,White,female,170.0
Brain and Other Nervous System,California,2014.0,75-84 years,White,female,98.0
Brain and Other Nervous System,California,2014.0,85+ years,White,female,62.0
Brain and Other Nervous System,California,2014.0,< 5 years,White,female,41.0
Brain and Other Nervous System,California,2015.0,10-14 years,White,female,21.0
Brain and Other Nervous System,California,2015.0,15-19 years,White,female,21.0
Brain and Other Nervous System,California,2015.0,20-24 years,White,female,22.0
Brain and Other Nervous System,California,2015.0,25-29 years,White,female,27.0
Brain and Other Nervous System,California,2015.0,30-34 years,White,female,32.0
Brain and Other Nervous System,California,2015.0,35-44 years,White,female,72.0
Brain and Other Nervous System,California,2015.0,45-54 years,White,female,117.0
Brain and Other Nervous System,California,2015.0,5-9 years,White,female,34.0
Brain and Other Nervous System,California,2015.0,55-64 years,White,female,181.0
Brain and Other Nervous System,California,2015.0,65-74 years,White,female,174.0
Brain and Other Nervous System,California,2015.0,75-84 years,White,female,144.0
Brain and Other Nervous System,California,2015.0,85+ years,White,female,68.0
Brain and Other Nervous System,California,2015.0,< 5 years,White,female,39.0
Brain and Other Nervous System,California,2016.0,10-14 years,White,female,20.0
Brain and Other Nervous System,California,2016.0,25-29 years,White,female,22.0
Brain and Other Nervous System,California,2016.0,30-34 years,White,female,28.0
Brain and Other Nervous System,California,2016.0,35-44 years,White,female,59.0
Brain and Other Nervous System,California,2016.0,45-54 years,White,female,84.0
Brain and Other Nervous System,California,2016.0,5-9 years,White,female,26.0
Brain and Other Nervous System,California,2016.0,55-64 years,White,female,164.0
Brain and Other Nervous System,California,2016.0,65-74 years,White,female,190.0
Brain and Other Nervous System,California,2016.0,75-84 years,White,female,117.0
Brain and Other Nervous System,California,2016.0,85+ years,White,female,39.0
Brain and Other Nervous System,California,2016.0,< 5 years,White,female,33.0
Brain and Other Nervous System,Colorado,2012.0,55-64 years,White,female,19.0
Brain and Other Nervous System,Colorado,2013.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Colorado,2013.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Colorado,2014.0,55-64 years,White,female,35.0
Brain and Other Nervous System,Colorado,2014.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Colorado,2015.0,65-74 years,White,female,17.0
Brain and Other Nervous System,Colorado,2016.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Colorado,2016.0,65-74 years,White,female,20.0
Brain and Other Nervous System,Florida,2012.0,30-34 years,White,female,22.0
Brain and Other Nervous System,Florida,2012.0,35-44 years,White,female,35.0
Brain and Other Nervous System,Florida,2012.0,45-54 years,White,female,54.0
Brain and Other Nervous System,Florida,2012.0,55-64 years,White,female,108.0
Brain and Other Nervous System,Florida,2012.0,65-74 years,White,female,127.0
Brain and Other Nervous System,Florida,2012.0,75-84 years,White,female,117.0
Brain and Other Nervous System,Florida,2012.0,85+ years,White,female,47.0
Brain and Other Nervous System,Florida,2012.0,< 5 years,White,female,18.0
Brain and Other Nervous System,Florida,2013.0,10-14 years,White,female,18.0
Brain and Other Nervous System,Florida,2013.0,30-34 years,White,female,16.0
Brain and Other Nervous System,Florida,2013.0,35-44 years,White,female,37.0
Brain and Other Nervous System,Florida,2013.0,45-54 years,White,female,87.0
Brain and Other Nervous System,Florida,2013.0,55-64 years,White,female,120.0
Brain and Other Nervous System,Florida,2013.0,65-74 years,White,female,138.0
Brain and Other Nervous System,Florida,2013.0,75-84 years,White,female,95.0
Brain and Other Nervous System,Florida,2013.0,85+ years,White,female,51.0
Brain and Other Nervous System,Florida,2014.0,10-14 years,White,female,20.0
Brain and Other Nervous System,Florida,2014.0,35-44 years,White,female,16.0
Brain and Other Nervous System,Florida,2014.0,45-54 years,White,female,53.0
Brain and Other Nervous System,Florida,2014.0,55-64 years,White,female,113.0
Brain and Other Nervous System,Florida,2014.0,65-74 years,White,female,124.0
Brain and Other Nervous System,Florida,2014.0,75-84 years,White,female,89.0
Brain and Other Nervous System,Florida,2014.0,85+ years,White,female,40.0
Brain and Other Nervous System,Florida,2014.0,< 5 years,White,female,16.0
Brain and Other Nervous System,Florida,2015.0,25-29 years,White,female,18.0
Brain and Other Nervous System,Florida,2015.0,35-44 years,White,female,46.0
Brain and Other Nervous System,Florida,2015.0,45-54 years,White,female,68.0
Brain and Other Nervous System,Florida,2015.0,55-64 years,White,female,117.0
Brain and Other Nervous System,Florida,2015.0,65-74 years,White,female,135.0
Brain and Other Nervous System,Florida,2015.0,75-84 years,White,female,113.0
Brain and Other Nervous System,Florida,2015.0,85+ years,White,female,53.0
Brain and Other Nervous System,Florida,2016.0,30-34 years,White,female,18.0
Brain and Other Nervous System,Florida,2016.0,35-44 years,White,female,22.0
Brain and Other Nervous System,Florida,2016.0,45-54 years,White,female,62.0
Brain and Other Nervous System,Florida,2016.0,55-64 years,White,female,112.0
Brain and Other Nervous System,Florida,2016.0,65-74 years,White,female,157.0
Brain and Other Nervous System,Florida,2016.0,75-84 years,White,female,113.0
Brain and Other Nervous System,Florida,2016.0,85+ years,White,female,41.0
Brain and Other Nervous System,Georgia,2012.0,55-64 years,White,female,44.0
Brain and Other Nervous System,Georgia,2012.0,65-74 years,White,female,44.0
Brain and Other Nervous System,Georgia,2012.0,75-84 years,White,female,22.0
Brain and Other Nervous System,Georgia,2013.0,45-54 years,White,female,42.0
Brain and Other Nervous System,Georgia,2013.0,55-64 years,White,female,40.0
Brain and Other Nervous System,Georgia,2013.0,65-74 years,White,female,56.0
Brain and Other Nervous System,Georgia,2014.0,35-44 years,White,female,18.0
Brain and Other Nervous System,Georgia,2014.0,55-64 years,White,female,18.0
Brain and Other Nervous System,Georgia,2014.0,65-74 years,White,female,50.0
Brain and Other Nervous System,Georgia,2015.0,45-54 years,White,female,17.0
Brain and Other Nervous System,Georgia,2015.0,55-64 years,White,female,51.0
Brain and Other Nervous System,Georgia,2015.0,65-74 years,White,female,51.0
Brain and Other Nervous System,Georgia,2015.0,75-84 years,White,female,18.0
Brain and Other Nervous System,Georgia,2016.0,45-54 years,White,female,19.0
Brain and Other Nervous System,Georgia,2016.0,55-64 years,White,female,49.0
Brain and Other Nervous System,Georgia,2016.0,65-74 years,White,female,52.0
Brain and Other Nervous System,Georgia,2016.0,75-84 years,White,female,16.0
Brain and Other Nervous System,Illinois,2012.0,35-44 years,White,female,19.0
Brain and Other Nervous System,Illinois,2012.0,45-54 years,White,female,39.0
Brain and Other Nervous System,Illinois,2012.0,55-64 years,White,female,75.0
Brain and Other Nervous System,Illinois,2012.0,65-74 years,White,female,57.0
Brain and Other Nervous System,Illinois,2012.0,75-84 years,White,female,43.0
Brain and Other Nervous System,Illinois,2012.0,85+ years,White,female,30.0
Brain and Other Nervous System,Illinois,2013.0,45-54 years,White,female,47.0
Brain and Other Nervous System,Illinois,2013.0,55-64 years,White,female,69.0
Brain and Other Nervous System,Illinois,2013.0,65-74 years,White,female,65.0
Brain and Other Nervous System,Illinois,2013.0,75-84 years,White,female,46.0
Brain and Other Nervous System,Illinois,2013.0,85+ years,White,female,24.0
Brain and Other Nervous System,Illinois,2014.0,45-54 years,White,female,33.0
Brain and Other Nervous System,Illinois,2014.0,5-9 years,White,female,17.0
Brain and Other Nervous System,Illinois,2014.0,55-64 years,White,female,68.0
Brain and Other Nervous System,Illinois,2014.0,65-74 years,White,female,74.0
Brain and Other Nervous System,Illinois,2014.0,75-84 years,White,female,43.0
Brain and Other Nervous System,Illinois,2014.0,85+ years,White,female,25.0
Brain and Other Nervous System,Illinois,2015.0,30-34 years,White,female,17.0
Brain and Other Nervous System,Illinois,2015.0,45-54 years,White,female,16.0
Brain and Other Nervous System,Illinois,2015.0,55-64 years,White,female,71.0
Brain and Other Nervous System,Illinois,2015.0,65-74 years,White,female,68.0
Brain and Other Nervous System,Illinois,2015.0,75-84 years,White,female,49.0
Brain and Other Nervous System,Illinois,2015.0,85+ years,White,female,18.0
Brain and Other Nervous System,Illinois,2016.0,35-44 years,White,female,16.0
Brain and Other Nervous System,Illinois,2016.0,45-54 years,White,female,24.0
Brain and Other Nervous System,Illinois,2016.0,55-64 years,White,female,72.0
Brain and Other Nervous System,Illinois,2016.0,65-74 years,White,female,68.0
Brain and Other Nervous System,Illinois,2016.0,75-84 years,White,female,46.0
Brain and Other Nervous System,Illinois,2016.0,85+ years,White,female,19.0
Brain and Other Nervous System,Indiana,2012.0,65-74 years,White,female,39.0
Brain and Other Nervous System,Indiana,2012.0,75-84 years,White,female,28.0
Brain and Other Nervous System,Indiana,2013.0,45-54 years,White,female,19.0
Brain and Other Nervous System,Indiana,2013.0,55-64 years,White,female,46.0
Brain and Other Nervous System,Indiana,2013.0,65-74 years,White,female,33.0
Brain and Other Nervous System,Indiana,2013.0,75-84 years,White,female,16.0
Brain and Other Nervous System,Indiana,2014.0,55-64 years,White,female,19.0
Brain and Other Nervous System,Indiana,2014.0,65-74 years,White,female,46.0
Brain and Other Nervous System,Indiana,2014.0,75-84 years,White,female,34.0
Brain and Other Nervous System,Indiana,2015.0,55-64 years,White,female,38.0
Brain and Other Nervous System,Indiana,2015.0,65-74 years,White,female,28.0
