c_site,state,year,age,race,sex,inci,pop
Brain and Other Nervous System,Alabama,2012.0,55-64 years,White,female,20,232527.0
Brain and Other Nervous System,Alabama,2012.0,65-74 years,White,female,22,171164.0
Brain and Other Nervous System,Alabama,2012.0,75-84 years,White,female,17,101179.0
Brain and Other Nervous System,Alabama,2016.0,55-64 years,White,female,17,238654.0
Brain and Other Nervous System,Alabama,2016.0,65-74 years,White,female,35,192209.0
Brain and Other Nervous System,Arizona,2012.0,55-64 years,White,female,20,344796.0
Brain and Other Nervous System,Arizona,2012.0,65-74 years,White,female,27,262501.0
Brain and Other Nervous System,Arizona,2012.0,75-84 years,White,female,22,145895.0
Brain and Other Nervous System,Arizona,2013.0,55-64 years,White,female,45,348311.0
Brain and Other Nervous System,Arizona,2013.0,65-74 years,White,female,37,278740.0
Brain and Other Nervous System,Arizona,2013.0,75-84 years,White,female,20,151466.0
Brain and Other Nervous System,Arizona,2013.0,85+ years,White,female,16,66678.0
Brain and Other Nervous System,Arizona,2014.0,55-64 years,White,female,24,353759.0
Brain and Other Nervous System,Arizona,2014.0,65-74 years,White,female,42,293823.0
Brain and Other Nervous System,Arizona,2014.0,75-84 years,White,female,19,157718.0
Brain and Other Nervous System,Arizona,2014.0,85+ years,White,female,23,70231.0
Brain and Other Nervous System,Arizona,2015.0,55-64 years,White,female,39,358589.0
Brain and Other Nervous System,Arizona,2015.0,65-74 years,White,female,42,305449.0
Brain and Other Nervous System,Arizona,2016.0,55-64 years,White,female,33,365255.0
Brain and Other Nervous System,Arizona,2016.0,65-74 years,White,female,46,318797.0
Brain and Other Nervous System,Arizona,2016.0,75-84 years,White,female,16,172119.0
Brain and Other Nervous System,California,2012.0,15-19 years,White,female,23,765949.0
Brain and Other Nervous System,California,2012.0,20-24 years,White,female,17,803007.0
Brain and Other Nervous System,California,2012.0,25-29 years,White,female,32,786935.0
Brain and Other Nervous System,California,2012.0,30-34 years,White,female,28,771631.0
Brain and Other Nervous System,California,2012.0,35-44 years,White,female,65,1506266.0
Brain and Other Nervous System,California,2012.0,45-54 years,White,female,94,1669753.0
Brain and Other Nervous System,California,2012.0,5-9 years,White,female,24,722778.0
Brain and Other Nervous System,California,2012.0,55-64 years,White,female,191,1498666.0
Brain and Other Nervous System,California,2012.0,65-74 years,White,female,162,966541.0
Brain and Other Nervous System,California,2012.0,75-84 years,White,female,102,580302.0
Brain and Other Nervous System,California,2012.0,85+ years,White,female,51,331922.0
Brain and Other Nervous System,California,2012.0,< 5 years,White,female,24,694043.0
Brain and Other Nervous System,California,2013.0,10-14 years,White,female,25,716408.0
Brain and Other Nervous System,California,2013.0,15-19 years,White,female,19,743944.0
Brain and Other Nervous System,California,2013.0,20-24 years,White,female,21,819085.0
Brain and Other Nervous System,California,2013.0,25-29 years,White,female,20,800204.0
Brain and Other Nervous System,California,2013.0,30-34 years,White,female,36,784738.0
Brain and Other Nervous System,California,2013.0,35-44 years,White,female,63,1498465.0
Brain and Other Nervous System,California,2013.0,45-54 years,White,female,121,1633831.0
Brain and Other Nervous System,California,2013.0,5-9 years,White,female,38,716028.0
Brain and Other Nervous System,California,2013.0,55-64 years,White,female,176,1525956.0
Brain and Other Nervous System,California,2013.0,65-74 years,White,female,177,1016782.0
Brain and Other Nervous System,California,2013.0,75-84 years,White,female,121,585608.0
Brain and Other Nervous System,California,2013.0,85+ years,White,female,77,332180.0
Brain and Other Nervous System,California,2013.0,< 5 years,White,female,26,692276.0
Brain and Other Nervous System,California,2014.0,10-14 years,White,female,18,716402.0
Brain and Other Nervous System,California,2014.0,15-19 years,White,female,20,736653.0
Brain and Other Nervous System,California,2014.0,20-24 years,White,female,21,809461.0
Brain and Other Nervous System,California,2014.0,25-29 years,White,female,28,821351.0
Brain and Other Nervous System,California,2014.0,30-34 years,White,female,19,798076.0
Brain and Other Nervous System,California,2014.0,35-44 years,White,female,78,1486164.0
Brain and Other Nervous System,California,2014.0,45-54 years,White,female,106,1628357.0
Brain and Other Nervous System,California,2014.0,5-9 years,White,female,29,703651.0
Brain and Other Nervous System,California,2014.0,55-64 years,White,female,191,1538707.0
Brain and Other Nervous System,California,2014.0,65-74 years,White,female,170,1065033.0
Brain and Other Nervous System,California,2014.0,75-84 years,White,female,98,593966.0
Brain and Other Nervous System,California,2014.0,85+ years,White,female,62,331423.0
Brain and Other Nervous System,California,2014.0,< 5 years,White,female,41,695563.0
Brain and Other Nervous System,California,2015.0,10-14 years,White,female,21,700420.0
Brain and Other Nervous System,California,2015.0,15-19 years,White,female,21,726530.0
Brain and Other Nervous System,California,2015.0,20-24 years,White,female,22,795192.0
Brain and Other Nervous System,California,2015.0,25-29 years,White,female,27,826706.0
Brain and Other Nervous System,California,2015.0,30-34 years,White,female,32,802652.0
Brain and Other Nervous System,California,2015.0,35-44 years,White,female,72,1466043.0
Brain and Other Nervous System,California,2015.0,45-54 years,White,female,117,1602686.0
Brain and Other Nervous System,California,2015.0,5-9 years,White,female,34,703469.0
Brain and Other Nervous System,California,2015.0,55-64 years,White,female,181,1565767.0
Brain and Other Nervous System,California,2015.0,65-74 years,White,female,174,1107061.0
Brain and Other Nervous System,California,2015.0,75-84 years,White,female,144,604190.0
Brain and Other Nervous System,California,2015.0,85+ years,White,female,68,334102.0
Brain and Other Nervous System,California,2015.0,< 5 years,White,female,39,694157.0
Brain and Other Nervous System,California,2016.0,10-14 years,White,female,20,694257.0
Brain and Other Nervous System,California,2016.0,25-29 years,White,female,22,831062.0
Brain and Other Nervous System,California,2016.0,30-34 years,White,female,28,781575.0
Brain and Other Nervous System,California,2016.0,35-44 years,White,female,59,1436161.0
Brain and Other Nervous System,California,2016.0,45-54 years,White,female,84,1559576.0
Brain and Other Nervous System,California,2016.0,5-9 years,White,female,26,679479.0
Brain and Other Nervous System,California,2016.0,55-64 years,White,female,164,1560288.0
Brain and Other Nervous System,California,2016.0,65-74 years,White,female,190,1131585.0
Brain and Other Nervous System,California,2016.0,75-84 years,White,female,117,600407.0
Brain and Other Nervous System,California,2016.0,85+ years,White,female,39,343691.0
Brain and Other Nervous System,California,2016.0,< 5 years,White,female,33,659495.0
Brain and Other Nervous System,Colorado,2012.0,55-64 years,White,female,19,294018.0
Brain and Other Nervous System,Colorado,2013.0,55-64 years,White,female,17,297213.0
Brain and Other Nervous System,Colorado,2013.0,65-74 years,White,female,16,181635.0
Brain and Other Nervous System,Colorado,2014.0,55-64 years,White,female,35,305729.0
Brain and Other Nervous System,Colorado,2014.0,65-74 years,White,female,16,193926.0
Brain and Other Nervous System,Colorado,2015.0,65-74 years,White,female,17,206937.0
Brain and Other Nervous System,Colorado,2016.0,55-64 years,White,female,17,318497.0
Brain and Other Nervous System,Colorado,2016.0,65-74 years,White,female,20,216569.0
Brain and Other Nervous System,Florida,2012.0,30-34 years,White,female,22,414262.0
Brain and Other Nervous System,Florida,2012.0,35-44 years,White,female,35,890678.0
Brain and Other Nervous System,Florida,2012.0,45-54 years,White,female,54,1083520.0
Brain and Other Nervous System,Florida,2012.0,55-64 years,White,female,108,1060782.0
Brain and Other Nervous System,Florida,2012.0,65-74 years,White,female,127,878996.0
Brain and Other Nervous System,Florida,2012.0,75-84 years,White,female,117,553068.0
Brain and Other Nervous System,Florida,2012.0,85+ years,White,female,47,280386.0
Brain and Other Nervous System,Florida,2012.0,< 5 years,White,female,18,346288.0
Brain and Other Nervous System,Florida,2013.0,10-14 years,White,female,18,377290.0
Brain and Other Nervous System,Florida,2013.0,30-34 years,White,female,16,419100.0
