YEAR,STATE,RACE,SEX,AGE,POPULATION
2012,Alabama,Asian or Pacific Islander,female,10-14 years,1782.0
2012,Alabama,Asian or Pacific Islander,female,15-19 years,1923.0
2012,Alabama,Asian or Pacific Islander,female,20-24 years,2794.0
2012,Alabama,Asian or Pacific Islander,female,25-29 years,2080.0
2012,Alabama,Asian or Pacific Islander,female,30-34 years,3372.0
2012,Alabama,Asian or Pacific Islander,female,35-44 years,7542.0
2012,Alabama,Asian or Pacific Islander,female,45-54 years,3543.0
2012,Alabama,Asian or Pacific Islander,female,5-9 years,3128.0
2012,Alabama,Asian or Pacific Islander,female,55-64 years,2987.0
2012,Alabama,Asian or Pacific Islander,female,65-74 years,1790.0
2012,Alabama,Asian or Pacific Islander,female,75-84 years,521.0
2012,Alabama,Asian or Pacific Islander,female,85+ years,219.0
2012,Alabama,Asian or Pacific Islander,female,< 5 years,1856.0
2012,Alabama,Asian or Pacific Islander,male,10-14 years,1981.0
2012,Alabama,Asian or Pacific Islander,male,15-19 years,2028.0
2012,Alabama,Asian or Pacific Islander,male,20-24 years,2526.0
2012,Alabama,Asian or Pacific Islander,male,25-29 years,1671.0
2012,Alabama,Asian or Pacific Islander,male,30-34 years,1416.0
2012,Alabama,Asian or Pacific Islander,male,35-44 years,5830.0
2012,Alabama,Asian or Pacific Islander,male,45-54 years,3084.0
2012,Alabama,Asian or Pacific Islander,male,5-9 years,1845.0
2012,Alabama,Asian or Pacific Islander,male,55-64 years,1532.0
2012,Alabama,Asian or Pacific Islander,male,65-74 years,1177.0
2012,Alabama,Asian or Pacific Islander,male,75-84 years,406.0
2012,Alabama,Asian or Pacific Islander,male,85+ years,247.0
2012,Alabama,Asian or Pacific Islander,male,< 5 years,1399.0
2012,Alabama,Black or African American,female,10-14 years,47620.0
2012,Alabama,Black or African American,female,15-19 years,50509.0
2012,Alabama,Black or African American,female,20-24 years,58016.0
2012,Alabama,Black or African American,female,25-29 years,47824.0
2012,Alabama,Black or African American,female,30-34 years,49381.0
2012,Alabama,Black or African American,female,35-44 years,88902.0
2012,Alabama,Black or African American,female,45-54 years,91414.0
2012,Alabama,Black or African American,female,5-9 years,45352.0
2012,Alabama,Black or African American,female,55-64 years,80166.0
2012,Alabama,Black or African American,female,65-74 years,42806.0
2012,Alabama,Black or African American,female,75-84 years,23438.0
2012,Alabama,Black or African American,female,85+ years,10716.0
2012,Alabama,Black or African American,female,< 5 years,45084.0
2012,Alabama,Black or African American,male,10-14 years,49056.0
2012,Alabama,Black or African American,male,15-19 years,52215.0
2012,Alabama,Black or African American,male,20-24 years,55163.0
2012,Alabama,Black or African American,male,25-29 years,39974.0
2012,Alabama,Black or African American,male,30-34 years,37786.0
2012,Alabama,Black or African American,male,35-44 years,75338.0
2012,Alabama,Black or African American,male,45-54 years,76959.0
2012,Alabama,Black or African American,male,5-9 years,45812.0
2012,Alabama,Black or African American,male,55-64 years,66346.0
2012,Alabama,Black or African American,male,65-74 years,31753.0
2012,Alabama,Black or African American,male,75-84 years,14076.0
2012,Alabama,Black or African American,male,85+ years,3166.0
2012,Alabama,Black or African American,male,< 5 years,47292.0
2012,Alabama,White,female,10-14 years,99724.0
2012,Alabama,White,female,15-19 years,101919.0
2012,Alabama,White,female,20-24 years,105785.0
2012,Alabama,White,female,25-29 years,101698.0
2012,Alabama,White,female,30-34 years,100849.0
2012,Alabama,White,female,35-44 years,209479.0
2012,Alabama,White,female,45-54 years,240866.0
2012,Alabama,White,female,5-9 years,97114.0
2012,Alabama,White,female,55-64 years,232527.0
2012,Alabama,White,female,65-74 years,171164.0
2012,Alabama,White,female,75-84 years,101179.0
2012,Alabama,White,female,85+ years,43801.0
2012,Alabama,White,female,< 5 years,89319.0
2012,Alabama,White,male,10-14 years,103912.0
2012,Alabama,White,male,15-19 years,109368.0
2012,Alabama,White,male,20-24 years,110021.0
2012,Alabama,White,male,25-29 years,101125.0
2012,Alabama,White,male,30-34 years,99782.0
2012,Alabama,White,male,35-44 years,212186.0
2012,Alabama,White,male,45-54 years,237894.0
2012,Alabama,White,male,5-9 years,101082.0
2012,Alabama,White,male,55-64 years,219364.0
2012,Alabama,White,male,65-74 years,150079.0
2012,Alabama,White,male,75-84 years,74176.0
2012,Alabama,White,male,85+ years,21314.0
2012,Alabama,White,male,< 5 years,97644.0
2012,Alaska,Asian or Pacific Islander,female,10-14 years,1655.0
2012,Alaska,Asian or Pacific Islander,female,15-19 years,1912.0
2012,Alaska,Asian or Pacific Islander,female,20-24 years,1871.0
2012,Alaska,Asian or Pacific Islander,female,25-29 years,2441.0
2012,Alaska,Asian or Pacific Islander,female,30-34 years,1932.0
2012,Alaska,Asian or Pacific Islander,female,35-44 years,4448.0
2012,Alaska,Asian or Pacific Islander,female,45-54 years,3254.0
2012,Alaska,Asian or Pacific Islander,female,5-9 years,2691.0
2012,Alaska,Asian or Pacific Islander,female,55-64 years,2773.0
2012,Alaska,Asian or Pacific Islander,female,65-74 years,2113.0
2012,Alaska,Asian or Pacific Islander,female,75-84 years,358.0
